tradedate,secid,shortname,volume,close,dividends_value,currencyid
2014-06-09,AFKS,Система ао,4380200,44.448,,
2014-06-10,AFKS,Система ао,11586400,45.499,,
2014-06-11,AFKS,Система ао,4757700,45.3,,
2014-06-16,AFKS,Система ао,17932600,45.999,,
2014-06-17,AFKS,Система ао,5544500,46.1,,
2014-06-18,AFKS,Система ао,6390200,46.6,,
2014-06-19,AFKS,Система ао,2484400,46.599,,
2014-06-20,AFKS,Система ао,4541800,46.0,,
2014-06-23,AFKS,Система ао,5511100,45.5,,
2014-06-24,AFKS,Система ао,8348800,46.45,,
2014-06-25,AFKS,Система ао,6537800,45.1,,
2014-06-26,AFKS,Система ао,2746400,45.2,,
2014-06-27,AFKS,Система ао,4036800,46.2,,
2014-06-30,AFKS,Система ао,6177400,45.6,,
2014-07-01,AFKS,Система ао,2769400,45.143,,
2014-07-02,AFKS,Система ао,5860100,45.9,,
2014-07-03,AFKS,Система ао,3985100,46.4,,
2014-07-04,AFKS,Система ао,2954300,46.6,,
2014-07-07,AFKS,Система ао,8342600,48.0,,
2014-07-08,AFKS,Система ао,10126900,47.79,,
2014-07-09,AFKS,Система ао,5683400,47.5,,
2014-07-10,AFKS,Система ао,7049700,46.44,,
2014-07-11,AFKS,Система ао,2969200,47.1,,
2014-07-14,AFKS,Система ао,3577000,46.998,,
2014-07-15,AFKS,Система ао,22954500,45.8,,
2014-07-16,AFKS,Система ао,15876800,42.6,,
2014-07-17,AFKS,Система ао,10939300,40.851,2.06,RUB
2014-07-18,AFKS,Система ао,13384400,39.841,,
2014-07-21,AFKS,Система ао,6906100,38.6,,
2014-07-22,AFKS,Система ао,15877200,39.6,,
2014-07-23,AFKS,Система ао,10064400,39.4,,
2014-07-24,AFKS,Система ао,15204100,37.3,,
2014-07-25,AFKS,Система ао,16142300,37.35,,
2014-07-28,AFKS,Система ао,10681300,36.5,,
2014-07-29,AFKS,Система ао,7023800,37.2,,
2014-07-30,AFKS,Система ао,6362500,38.484,,
2014-07-31,AFKS,Система ао,7477600,39.4,,
2014-08-01,AFKS,Система ао,6678500,38.4,,
2014-08-04,AFKS,Система ао,5073200,38.0,,
2014-08-05,AFKS,Система ао,3832000,38.1,,
2014-08-06,AFKS,Система ао,5914700,37.342,,
2014-08-07,AFKS,Система ао,7073100,38.611,,
2014-08-08,AFKS,Система ао,3734100,39.615,,
2014-08-11,AFKS,Система ао,4004500,40.9,,
2014-08-12,AFKS,Система ао,5297000,41.5,,
2014-08-13,AFKS,Система ао,6460400,41.9,,
2014-08-14,AFKS,Система ао,6718900,42.51,,
2014-08-15,AFKS,Система ао,3709100,43.3,,
2014-08-18,AFKS,Система ао,3910400,43.82,,
2014-08-19,AFKS,Система ао,3525700,43.92,,
2014-08-20,AFKS,Система ао,2062200,42.9,,
2014-08-21,AFKS,Система ао,3408200,42.901,,
2014-08-22,AFKS,Система ао,3482900,41.561,,
2014-08-25,AFKS,Система ао,964900,42.83,,
2014-08-26,AFKS,Система ао,2949300,41.5,,
2014-08-27,AFKS,Система ао,4935300,39.9,,
2014-08-28,AFKS,Система ао,8829200,38.9,,
2014-08-29,AFKS,Система ао,6184700,37.719,,
2014-09-01,AFKS,Система ао,8788000,36.7,,
2014-09-02,AFKS,Система ао,2590500,37.5,,
2014-09-03,AFKS,Система ао,16618500,36.0,,
2014-09-04,AFKS,Система ао,11876300,35.0,,
2014-09-05,AFKS,Система ао,7616800,34.734,,
2014-09-08,AFKS,Система ао,4360200,35.3,,
2014-09-09,AFKS,Система ао,8524200,35.04,,
2014-09-10,AFKS,Система ао,8950100,35.0,,
2014-09-11,AFKS,Система ао,4589400,34.95,,
2014-09-12,AFKS,Система ао,4008500,35.0,,
2014-09-15,AFKS,Система ао,11816200,35.8,,
2014-09-16,AFKS,Система ао,8508700,36.47,,
2014-09-17,AFKS,Система ао,114611200,23.005,,
2014-09-18,AFKS,Система ао,38128000,21.85,,
2014-09-19,AFKS,Система ао,82347200,22.95,,
2014-09-22,AFKS,Система ао,10350900,22.161,,
2014-09-23,AFKS,Система ао,23478500,23.0,,
2014-09-24,AFKS,Система ао,36414700,23.1,,
2014-09-25,AFKS,Система ао,34461900,21.5,,
2014-09-26,AFKS,Система ао,38859300,17.0,,
2014-09-29,AFKS,Система ао,79680200,12.68,,
2014-09-30,AFKS,Система ао,45349800,13.13,,
2014-10-01,AFKS,Система ао,49508700,13.66,,
2014-10-02,AFKS,Система ао,31578300,14.1,,
2014-10-03,AFKS,Система ао,18251500,15.2,,
2014-10-06,AFKS,Система ао,27617500,16.05,,
2014-10-07,AFKS,Система ао,23323300,16.1,,
2014-10-08,AFKS,Система ао,11084600,15.3,,
2014-10-09,AFKS,Система ао,30298500,14.6,,
2014-10-10,AFKS,Система ао,32184700,13.3,,
2014-10-13,AFKS,Система ао,10281000,13.65,,
2014-10-14,AFKS,Система ао,12556300,15.0,,
2014-10-15,AFKS,Система ао,12481000,13.85,,
2014-10-16,AFKS,Система ао,13589000,13.3,,
2014-10-17,AFKS,Система ао,27546700,14.45,,
2014-10-20,AFKS,Система ао,16516000,14.18,,
2014-10-21,AFKS,Система ао,10259200,13.89,,
2014-10-22,AFKS,Система ао,8329500,13.8,,
2014-10-23,AFKS,Система ао,15779100,13.01,,
2014-10-24,AFKS,Система ао,8015500,12.5,,
2014-10-27,AFKS,Система ао,10905900,13.2,,
2014-10-28,AFKS,Система ао,12078700,13.8,,
2014-10-29,AFKS,Система ао,9067300,13.9,,
2014-10-30,AFKS,Система ао,62776400,15.55,,
2014-10-31,AFKS,Система ао,25622900,15.95,,
2014-11-03,AFKS,Система ао,4636700,15.28,,
2014-11-05,AFKS,Система ао,5946300,15.08,,
2014-11-06,AFKS,Система ао,12453000,14.55,,
2014-11-07,AFKS,Система ао,14321100,13.9,,
2014-11-10,AFKS,Система ао,6985200,14.2,,
2014-11-11,AFKS,Система ао,13111200,13.22,,
2014-11-12,AFKS,Система ао,11747700,13.7,,
2014-11-13,AFKS,Система ао,31673400,13.57,,
2014-11-14,AFKS,Система ао,17863000,13.25,,
2014-11-17,AFKS,Система ао,8223700,12.9,,
2014-11-18,AFKS,Система ао,8638100,13.2,,
2014-11-19,AFKS,Система ао,10271400,12.92,,
2014-11-20,AFKS,Система ао,4523900,13.15,,
2014-11-21,AFKS,Система ао,5560900,13.1,,
2014-11-24,AFKS,Система ао,3859900,12.96,,
2014-11-25,AFKS,Система ао,7983200,13.35,,
2014-11-26,AFKS,Система ао,5884100,13.3,,
2014-11-27,AFKS,Система ао,7338700,13.08,,
