tradedate,secid,shortname,volume,close,dividends_value,currencyid
2013-10-31,AFLT,Аэрофлот,2779400,57.4,,
2013-11-01,AFLT,Аэрофлот,2286300,57.38,,
2013-11-05,AFLT,Аэрофлот,729000,56.85,,
2013-11-06,AFLT,Аэрофлот,1320900,57.4,,
2013-11-07,AFLT,Аэрофлот,2112000,58.45,,
2013-11-08,AFLT,Аэрофлот,1361500,57.1,,
2013-11-11,AFLT,Аэрофлот,1259600,57.47,,
2013-11-12,AFLT,Аэрофлот,887500,57.88,,
2013-11-13,AFLT,Аэрофлот,2883100,57.83,,
2013-11-14,AFLT,Аэрофлот,1796800,59.51,,
2013-11-15,AFLT,Аэрофлот,1285200,59.88,,
2013-11-18,AFLT,Аэрофлот,996700,59.81,,
2013-11-19,AFLT,Аэрофлот,1317300,58.68,,
2013-11-20,AFLT,Аэрофлот,1302300,57.6,,
2013-11-21,AFLT,Аэрофлот,1284700,57.78,,
2013-11-22,AFLT,Аэрофлот,1151600,58.29,,
2013-11-25,AFLT,Аэрофлот,839200,58.26,,
2013-11-26,AFLT,Аэрофлот,2121700,57.57,,
2013-11-27,AFLT,Аэрофлот,2265700,57.19,,
2013-11-28,AFLT,Аэрофлот,1295600,58.44,,
2013-11-29,AFLT,Аэрофлот,2363400,60.42,,
2013-12-02,AFLT,Аэрофлот,4906000,62.69,,
2013-12-03,AFLT,Аэрофлот,3190100,63.12,,
2013-12-04,AFLT,Аэрофлот,10394800,67.46,,
2013-12-05,AFLT,Аэрофлот,3849500,66.72,,
2013-12-06,AFLT,Аэрофлот,6598100,68.8,,
2013-12-09,AFLT,Аэрофлот,6947300,72.48,,
2013-12-10,AFLT,Аэрофлот,4618400,74.1,,
2013-12-11,AFLT,Аэрофлот,3249000,73.09,,
2013-12-12,AFLT,Аэрофлот,3573200,73.65,,
2013-12-13,AFLT,Аэрофлот,7171800,76.75,,
2013-12-16,AFLT,Аэрофлот,7016200,79.66,,
2013-12-17,AFLT,Аэрофлот,4191300,79.24,,
2013-12-18,AFLT,Аэрофлот,5061900,77.17,,
2013-12-19,AFLT,Аэрофлот,5901800,78.0,,
2013-12-20,AFLT,Аэрофлот,6211000,79.23,,
2013-12-23,AFLT,Аэрофлот,4570900,81.56,,
2013-12-24,AFLT,Аэрофлот,6281600,85.0,,
2013-12-25,AFLT,Аэрофлот,6262600,85.05,,
2013-12-26,AFLT,Аэрофлот,4731100,84.54,,
2013-12-27,AFLT,Аэрофлот,3836100,82.5,,
2013-12-30,AFLT,Аэрофлот,5262600,83.7,,
2014-01-06,AFLT,Аэрофлот,2490000,83.24,,
2014-01-08,AFLT,Аэрофлот,2345100,83.41,,
2014-01-09,AFLT,Аэрофлот,2751400,82.9,,
2014-01-10,AFLT,Аэрофлот,3849100,82.83,,
2014-01-13,AFLT,Аэрофлот,7404300,87.87,,
2014-01-14,AFLT,Аэрофлот,7910200,84.96,,
2014-01-15,AFLT,Аэрофлот,5388900,83.9,,
2014-01-16,AFLT,Аэрофлот,4117300,84.8,,
2014-01-17,AFLT,Аэрофлот,3629900,84.25,,
2014-01-20,AFLT,Аэрофлот,3448100,85.46,,
2014-01-21,AFLT,Аэрофлот,7934600,81.35,,
2014-01-22,AFLT,Аэрофлот,9903800,78.78,,
2014-01-23,AFLT,Аэрофлот,4992100,79.79,,
2014-01-24,AFLT,Аэрофлот,4305900,78.7,,
2014-01-27,AFLT,Аэрофлот,5141500,81.9,,
2014-01-28,AFLT,Аэрофлот,3446600,81.75,,
2014-01-29,AFLT,Аэрофлот,3340700,81.38,,
2014-01-30,AFLT,Аэрофлот,2806800,81.44,,
2014-01-31,AFLT,Аэрофлот,2906200,83.0,,
2014-02-03,AFLT,Аэрофлот,4761000,80.0,,
2014-02-04,AFLT,Аэрофлот,6241600,76.65,,
2014-02-05,AFLT,Аэрофлот,6699700,76.12,,
2014-02-06,AFLT,Аэрофлот,4932600,78.9,,
2014-02-07,AFLT,Аэрофлот,4324400,79.5,,
2014-02-10,AFLT,Аэрофлот,2914700,79.51,,
2014-02-11,AFLT,Аэрофлот,1913300,80.7,,
2014-02-12,AFLT,Аэрофлот,5062700,82.02,,
2014-02-13,AFLT,Аэрофлот,3901700,80.6,,
2014-02-14,AFLT,Аэрофлот,2766200,80.28,,
2014-02-17,AFLT,Аэрофлот,618300,80.75,,
2014-02-18,AFLT,Аэрофлот,2795900,80.0,,
2014-02-19,AFLT,Аэрофлот,1965100,78.1,,
2014-02-20,AFLT,Аэрофлот,2274900,77.8,,
2014-02-21,AFLT,Аэрофлот,1468300,77.88,,
2014-02-24,AFLT,Аэрофлот,1934400,76.9,,
2014-02-25,AFLT,Аэрофлот,1124800,77.39,,
2014-02-26,AFLT,Аэрофлот,2172700,77.6,,
2014-02-27,AFLT,Аэрофлот,5895700,72.71,,
2014-02-28,AFLT,Аэрофлот,5484400,70.61,,
2014-03-03,AFLT,Аэрофлот,11263800,59.0,,
2014-03-04,AFLT,Аэрофлот,9257400,60.6,,
2014-03-05,AFLT,Аэрофлот,6152100,62.18,,
2014-03-06,AFLT,Аэрофлот,10299200,62.4,,
2014-03-07,AFLT,Аэрофлот,4844000,61.08,,
2014-03-11,AFLT,Аэрофлот,9663100,59.38,,
2014-03-12,AFLT,Аэрофлот,6743300,58.55,,
2014-03-13,AFLT,Аэрофлот,11087900,52.8,,
2014-03-14,AFLT,Аэрофлот,17220200,47.29,,
2014-03-17,AFLT,Аэрофлот,21583400,46.62,,
2014-03-18,AFLT,Аэрофлот,28154600,48.6,,
2014-03-19,AFLT,Аэрофлот,36318300,53.89,,
2014-03-20,AFLT,Аэрофлот,26956600,56.45,,
2014-03-21,AFLT,Аэрофлот,18254900,55.15,,
2014-03-24,AFLT,Аэрофлот,11757400,53.74,,
2014-03-25,AFLT,Аэрофлот,9431100,54.24,,
2014-03-26,AFLT,Аэрофлот,8451700,55.35,,
2014-03-27,AFLT,Аэрофлот,11717600,53.11,,
2014-03-28,AFLT,Аэрофлот,5615500,53.85,,
2014-03-31,AFLT,Аэрофлот,3938700,55.2,,
2014-04-01,AFLT,Аэрофлот,6133300,55.97,,
2014-04-02,AFLT,Аэрофлот,5091000,55.78,,
2014-04-03,AFLT,Аэрофлот,3501000,55.8,,
2014-04-04,AFLT,Аэрофлот,3127200,56.02,,
2014-04-07,AFLT,Аэрофлот,8021700,53.45,,
2014-04-08,AFLT,Аэрофлот,5300800,53.39,,
2014-04-09,AFLT,Аэрофлот,4252200,53.85,,
2014-04-10,AFLT,Аэрофлот,3094800,54.15,,
2014-04-11,AFLT,Аэрофлот,2410400,53.4,,
2014-04-14,AFLT,Аэрофлот,2759900,52.85,,
2014-04-15,AFLT,Аэрофлот,5589200,49.68,,
2014-04-16,AFLT,Аэрофлот,4995400,51.8,,
2014-04-17,AFLT,Аэрофлот,5023600,53.0,,
2014-04-18,AFLT,Аэрофлот,3085200,53.75,,
2014-04-21,AFLT,Аэрофлот,2028400,53.65,,
