tradedate,secid,shortname,volume,close,dividends_value,currencyid
2014-06-09,AKRN,Акрон,33130,1228.0,152.0,RUB
2014-06-10,AKRN,Акрон,16888,1196.0,,
2014-06-11,AKRN,Акрон,21393,1165.0,,
2014-06-16,AKRN,Акрон,22072,1189.9,,
2014-06-17,AKRN,Акрон,11141,1175.0,,
2014-06-18,AKRN,Акрон,8557,1166.4,,
2014-06-19,AKRN,Акрон,15947,1156.3,,
2014-06-20,AKRN,Акрон,18604,1135.6,,
2014-06-23,AKRN,Акрон,5602,1155.0,,
2014-06-24,AKRN,Акрон,9700,1166.9,,
2014-06-25,AKRN,Акрон,19221,1175.1,,
2014-06-26,AKRN,Акрон,22615,1194.4,,
2014-06-27,AKRN,Акрон,23199,1215.0,,
2014-06-30,AKRN,Акрон,29503,1235.0,,
2014-07-01,AKRN,Акрон,17427,1226.0,,
2014-07-02,AKRN,Акрон,8391,1217.0,,
2014-07-03,AKRN,Акрон,26119,1228.0,,
2014-07-04,AKRN,Акрон,3659,1215.7,,
2014-07-07,AKRN,Акрон,16935,1247.3,,
2014-07-08,AKRN,Акрон,18189,1254.9,,
2014-07-09,AKRN,Акрон,5275,1257.0,,
2014-07-10,AKRN,Акрон,5418,1228.9,,
2014-07-11,AKRN,Акрон,6152,1223.0,,
2014-07-14,AKRN,Акрон,7224,1214.0,,
2014-07-15,AKRN,Акрон,39247,1213.0,,
2014-07-16,AKRN,Акрон,6065,1221.0,,
2014-07-17,AKRN,Акрон,28721,1177.0,,
2014-07-18,AKRN,Акрон,5516,1189.3,,
2014-07-21,AKRN,Акрон,21464,1158.0,,
2014-07-22,AKRN,Акрон,6504,1172.0,,
2014-07-23,AKRN,Акрон,3028,1191.8,,
2014-07-24,AKRN,Акрон,2130,1175.6,,
2014-07-25,AKRN,Акрон,5314,1159.5,,
2014-07-28,AKRN,Акрон,6043,1127.1,,
2014-07-29,AKRN,Акрон,8553,1110.7,,
2014-07-30,AKRN,Акрон,4546,1141.6,,
2014-07-31,AKRN,Акрон,5025,1137.4,,
2014-08-01,AKRN,Акрон,2735,1149.5,,
2014-08-04,AKRN,Акрон,2318,1151.8,,
2014-08-05,AKRN,Акрон,5647,1123.0,,
2014-08-06,AKRN,Акрон,18080,1095.1,,
2014-08-07,AKRN,Акрон,7885,1088.0,,
2014-08-08,AKRN,Акрон,10797,1132.9,,
2014-08-11,AKRN,Акрон,4217,1153.4,,
2014-08-12,AKRN,Акрон,2748,1158.0,,
2014-08-13,AKRN,Акрон,3157,1187.9,,
2014-08-14,AKRN,Акрон,4738,1187.0,,
2014-08-15,AKRN,Акрон,3817,1180.0,,
2014-08-18,AKRN,Акрон,7084,1187.2,,
2014-08-19,AKRN,Акрон,14492,1193.6,,
2014-08-20,AKRN,Акрон,6584,1215.0,,
2014-08-21,AKRN,Акрон,23937,1225.6,,
2014-08-22,AKRN,Акрон,13185,1241.0,,
2014-08-25,AKRN,Акрон,1201,1235.9,,
2014-08-26,AKRN,Акрон,11724,1199.9,,
2014-08-27,AKRN,Акрон,5912,1200.0,,
2014-08-28,AKRN,Акрон,4850,1167.0,,
2014-08-29,AKRN,Акрон,8725,1144.1,,
2014-09-01,AKRN,Акрон,1080,1148.0,,
2014-09-02,AKRN,Акрон,7235,1170.5,,
2014-09-03,AKRN,Акрон,22058,1203.2,,
2014-09-04,AKRN,Акрон,2758,1192.2,,
2014-09-05,AKRN,Акрон,8513,1217.2,,
2014-09-08,AKRN,Акрон,12792,1220.2,,
2014-09-09,AKRN,Акрон,4600,1231.5,,
2014-09-10,AKRN,Акрон,21089,1206.9,,
2014-09-11,AKRN,Акрон,11665,1193.5,,
2014-09-12,AKRN,Акрон,7050,1191.6,,
2014-09-15,AKRN,Акрон,9845,1205.8,,
2014-09-16,AKRN,Акрон,12017,1234.9,,
2014-09-17,AKRN,Акрон,19945,1210.0,,
2014-09-18,AKRN,Акрон,12606,1230.0,,
2014-09-19,AKRN,Акрон,34830,1230.0,,
2014-09-22,AKRN,Акрон,4958,1232.0,,
2014-09-23,AKRN,Акрон,23490,1250.3,,
2014-09-24,AKRN,Акрон,22233,1259.9,,
2014-09-25,AKRN,Акрон,5655,1267.2,,
2014-09-26,AKRN,Акрон,11138,1234.4,,
2014-09-29,AKRN,Акрон,9314,1234.9,,
2014-09-30,AKRN,Акрон,4528,1250.0,,
2014-10-01,AKRN,Акрон,6403,1266.0,,
2014-10-02,AKRN,Акрон,14588,1251.0,,
2014-10-03,AKRN,Акрон,13286,1251.0,,
2014-10-06,AKRN,Акрон,24850,1269.0,,
2014-10-07,AKRN,Акрон,31879,1266.0,,
2014-10-08,AKRN,Акрон,19432,1267.0,,
2014-10-09,AKRN,Акрон,5489,1266.0,,
2014-10-10,AKRN,Акрон,4894,1245.0,,
2014-10-13,AKRN,Акрон,9072,1294.0,,
2014-10-14,AKRN,Акрон,2532,1289.0,,
2014-10-15,AKRN,Акрон,5845,1285.0,,
2014-10-16,AKRN,Акрон,3045,1284.0,,
2014-10-17,AKRN,Акрон,5983,1275.0,,
2014-10-20,AKRN,Акрон,25290,1285.0,,
2014-10-21,AKRN,Акрон,33552,1291.0,,
2014-10-22,AKRN,Акрон,1197,1285.0,,
2014-10-23,AKRN,Акрон,5379,1279.0,,
2014-10-24,AKRN,Акрон,4335,1282.0,,
2014-10-27,AKRN,Акрон,3146,1289.0,,
2014-10-28,AKRN,Акрон,3826,1302.0,,
2014-10-29,AKRN,Акрон,42116,1325.0,,
2014-10-30,AKRN,Акрон,9850,1329.0,,
2014-10-31,AKRN,Акрон,2490,1344.0,,
2014-11-03,AKRN,Акрон,2200,1350.0,,
2014-11-05,AKRN,Акрон,12682,1343.0,,
2014-11-06,AKRN,Акрон,22338,1339.0,,
2014-11-07,AKRN,Акрон,30455,1379.0,,
2014-11-10,AKRN,Акрон,8530,1385.0,,
2014-11-11,AKRN,Акрон,15456,1370.0,,
2014-11-12,AKRN,Акрон,12726,1369.0,,
2014-11-13,AKRN,Акрон,7928,1375.0,,
2014-11-14,AKRN,Акрон,20423,1366.0,,
2014-11-17,AKRN,Акрон,15699,1419.0,,
2014-11-18,AKRN,Акрон,9224,1416.0,,
2014-11-19,AKRN,Акрон,12251,1441.0,,
2014-11-20,AKRN,Акрон,5340,1438.0,,
2014-11-21,AKRN,Акрон,4484,1435.0,,
2014-11-24,AKRN,Акрон,4622,1434.0,,
2014-11-25,AKRN,Акрон,21521,1420.0,,
2014-11-26,AKRN,Акрон,9911,1436.0,,
2014-11-27,AKRN,Акрон,1584,1440.0,,
2014-11-28,AKRN,Акрон,14067,1480.0,,
2014-12-01,AKRN,Акрон,15148,1548.0,,
2014-12-02,AKRN,Акрон,6221,1574.0,,
2014-12-03,AKRN,Акрон,21594,1629.0,,
2014-12-04,AKRN,Акрон,113284,1688.0,,
2014-12-05,AKRN,Акрон,96245,1730.0,,
2014-12-08,AKRN,Акрон,39731,1764.0,,
2014-12-09,AKRN,Акрон,21056,1737.0,,
2014-12-10,AKRN,Акрон,18162,1825.0,,
2014-12-11,AKRN,Акрон,33541,1800.0,,
2014-12-12,AKRN,Акрон,24634,1820.0,,
2014-12-15,AKRN,Акрон,24620,1854.0,,
2014-12-16,AKRN,Акрон,78416,1824.0,,
2014-12-17,AKRN,Акрон,18729,1900.0,,
2014-12-18,AKRN,Акрон,26436,1850.0,,
2014-12-19,AKRN,Акрон,11376,1944.0,,
2014-12-22,AKRN,Акрон,11137,1804.0,,
2014-12-23,AKRN,Акрон,17335,1845.0,,
2014-12-24,AKRN,Акрон,12889,1804.0,,
2014-12-25,AKRN,Акрон,8002,1834.0,,
2014-12-26,AKRN,Акрон,6116,1816.0,,
2014-12-29,AKRN,Акрон,14151,1814.0,,
2014-12-30,AKRN,Акрон,14467,1799.0,,
2015-01-05,AKRN,Акрон,1098,1830.0,,
2015-01-06,AKRN,Акрон,2085,1870.0,,
2015-01-08,AKRN,Акрон,5968,1906.0,,
2015-01-09,AKRN,Акрон,3919,1856.0,,
2015-01-12,AKRN,Акрон,2290,1867.0,,
2015-01-13,AKRN,Акрон,3172,1900.0,,
2015-01-14,AKRN,Акрон,6587,1925.0,,
2015-01-15,AKRN,Акрон,10850,1998.0,,
2015-01-16,AKRN,Акрон,8002,2061.0,,
2015-01-19,AKRN,Акрон,7329,2125.0,,
2015-01-20,AKRN,Акрон,5359,2130.0,,
2015-01-21,AKRN,Акрон,8167,2159.0,,
2015-01-22,AKRN,Акрон,16274,2250.0,,
2015-01-23,AKRN,Акрон,25558,2258.0,,
2015-01-26,AKRN,Акрон,6874,2231.0,,
2015-01-27,AKRN,Акрон,20554,2280.0,,
2015-01-28,AKRN,Акрон,10414,2315.0,,
2015-01-29,AKRN,Акрон,8325,2325.0,,
2015-01-30,AKRN,Акрон,6520,2378.0,,
2015-02-02,AKRN,Акрон,11652,2341.0,,
2015-02-03,AKRN,Акрон,54186,2288.0,,
2015-02-04,AKRN,Акрон,8353,2281.0,,
2015-02-05,AKRN,Акрон,35013,2278.0,,
2015-02-06,AKRN,Акрон,50225,2306.0,,
2015-02-09,AKRN,Акрон,7888,2320.0,,
2015-02-10,AKRN,Акрон,29808,2328.0,,
2015-02-11,AKRN,Акрон,23601,2464.0,,
2015-02-12,AKRN,Акрон,75659,2453.0,,
2015-02-13,AKRN,Акрон,29623,2477.0,,
2015-02-16,AKRN,Акрон,18018,2451.0,,
2015-02-17,AKRN,Акрон,4202,2480.0,,
2015-02-18,AKRN,Акрон,9620,2564.0,,
2015-02-19,AKRN,Акрон,29129,2450.0,,
2015-02-20,AKRN,Акрон,15349,2530.0,,
2015-02-24,AKRN,Акрон,5072,2496.0,,
2015-02-25,AKRN,Акрон,9277,2485.0,,
2015-02-26,AKRN,Акрон,3003,2475.0,,
2015-02-27,AKRN,Акрон,2285,2435.0,,
2015-03-02,AKRN,Акрон,7591,2475.0,,
2015-03-03,AKRN,Акрон,16320,2481.0,,
2015-03-04,AKRN,Акрон,11085,2486.0,,
2015-03-05,AKRN,Акрон,24755,2580.0,,
2015-03-06,AKRN,Акрон,25771,2512.0,,
2015-03-10,AKRN,Акрон,6875,2465.0,,
2015-03-11,AKRN,Акрон,5570,2451.0,,
2015-03-12,AKRN,Акрон,15395,2490.0,,
2015-03-13,AKRN,Акрон,18410,2445.0,,
2015-03-16,AKRN,Акрон,5809,2402.0,,
2015-03-17,AKRN,Акрон,15894,2340.0,,
2015-03-18,AKRN,Акрон,8918,2375.0,,
2015-03-19,AKRN,Акрон,5267,2296.0,,
2015-03-20,AKRN,Акрон,155781,2300.0,,
2015-03-23,AKRN,Акрон,6506,2196.0,,
2015-03-24,AKRN,Акрон,17794,2258.0,,
2015-03-25,AKRN,Акрон,17086,2258.0,,
2015-03-26,AKRN,Акрон,7928,2224.0,,
2015-03-27,AKRN,Акрон,7269,2193.0,,
2015-03-30,AKRN,Акрон,1804,2239.0,,
2015-03-31,AKRN,Акрон,7305,2267.0,,
2015-04-01,AKRN,Акрон,4989,2300.0,,
2015-04-02,AKRN,Акрон,4125,2341.0,,
2015-04-03,AKRN,Акрон,969,2325.0,,
2015-04-06,AKRN,Акрон,1109,2305.0,,
2015-04-07,AKRN,Акрон,783,2253.0,,
2015-04-08,AKRN,Акрон,1767,2225.0,,
2015-04-09,AKRN,Акрон,19503,2300.0,,
2015-04-10,AKRN,Акрон,23667,2250.0,,
2015-04-13,AKRN,Акрон,25499,2300.0,,
2015-04-14,AKRN,Акрон,4203,2227.0,,
2015-04-15,AKRN,Акрон,28151,2200.0,,
2015-04-16,AKRN,Акрон,34557,2128.0,,
2015-04-17,AKRN,Акрон,1985,2145.0,,
2015-04-20,AKRN,Акрон,143307,2280.0,,
2015-04-21,AKRN,Акрон,3755,2339.0,,
2015-04-22,AKRN,Акрон,3516,2290.0,,
2015-04-23,AKRN,Акрон,3000,2219.0,,
2015-04-24,AKRN,Акрон,4719,2225.0,,
2015-04-27,AKRN,Акрон,10440,2251.0,,
2015-04-28,AKRN,Акрон,1831,2246.0,,
2015-04-29,AKRN,Акрон,4626,2240.0,,
2015-04-30,AKRN,Акрон,5051,2262.0,,
2015-05-05,AKRN,Акрон,8564,2274.0,,
2015-05-06,AKRN,Акрон,5126,2349.0,,
2015-05-07,AKRN,Акрон,2377,2311.0,,
2015-05-08,AKRN,Акрон,1661,2336.0,,
2015-05-12,AKRN,Акрон,8531,2300.0,,
2015-05-13,AKRN,Акрон,1075,2284.0,,
2015-05-14,AKRN,Акрон,8268,2274.0,,
2015-05-15,AKRN,Акрон,423,2257.0,,
2015-05-18,AKRN,Акрон,991,2234.0,,
2015-05-19,AKRN,Акрон,2414,2230.0,,
2015-05-20,AKRN,Акрон,2888,2255.0,,
2015-05-21,AKRN,Акрон,2555,2259.0,,
2015-05-22,AKRN,Акрон,3345,2262.0,,
2015-05-25,AKRN,Акрон,9061,2267.0,,
2015-05-26,AKRN,Акрон,2304,2247.0,,
2015-05-27,AKRN,Акрон,10118,2265.0,,
2015-05-28,AKRN,Акрон,14529,2285.0,,
2015-05-29,AKRN,Акрон,16874,2216.0,,
2015-06-01,AKRN,Акрон,19626,2144.0,,
2015-06-02,AKRN,Акрон,6474,2180.0,139.0,RUB
2015-06-03,AKRN,Акрон,5921,2178.0,,
2015-06-04,AKRN,Акрон,3213,2230.0,,
2015-06-05,AKRN,Акрон,5422,2262.0,,
2015-06-08,AKRN,Акрон,3954,2220.0,,
2015-06-09,AKRN,Акрон,5695,2180.0,,
2015-06-10,AKRN,Акрон,3312,2140.0,,
2015-06-11,AKRN,Акрон,3318,2150.0,,
2015-06-15,AKRN,Акрон,3328,2180.0,,
2015-06-16,AKRN,Акрон,11785,2200.0,,
2015-06-17,AKRN,Акрон,6053,2196.0,,
2015-06-18,AKRN,Акрон,1825,2204.0,,
2015-06-19,AKRN,Акрон,4332,2220.0,,
2015-06-22,AKRN,Акрон,1544,2193.0,,
2015-06-23,AKRN,Акрон,4505,2247.0,,
2015-06-24,AKRN,Акрон,7108,2271.0,,
2015-06-25,AKRN,Акрон,2950,2261.0,,
2015-06-26,AKRN,Акрон,5233,2270.0,,
2015-06-29,AKRN,Акрон,5695,2253.0,,
2015-06-30,AKRN,Акрон,6048,2231.0,,
2015-07-01,AKRN,Акрон,1671,2259.0,,
2015-07-02,AKRN,Акрон,1830,2280.0,,
2015-07-03,AKRN,Акрон,3500,2280.0,,
2015-07-06,AKRN,Акрон,2825,2261.0,,
2015-07-07,AKRN,Акрон,12770,2354.0,,
2015-07-08,AKRN,Акрон,6188,2283.0,,
2015-07-09,AKRN,Акрон,5583,2380.0,,
2015-07-10,AKRN,Акрон,919,2359.0,,
2015-07-13,AKRN,Акрон,4564,2436.0,,
2015-07-14,AKRN,Акрон,18781,2600.0,,
2015-07-15,AKRN,Акрон,5954,2600.0,,
2015-07-16,AKRN,Акрон,11591,2626.0,,
