tradedate,secid,shortname,volume,close,dividends_value,currencyid
2013-07-08,ALRS,АЛРОСА ао,0,,,
2013-07-09,ALRS,АЛРОСА ао,0,,,
2013-07-10,ALRS,АЛРОСА ао,0,,,
2013-07-11,ALRS,АЛРОСА ао,0,,,
2013-07-12,ALRS,АЛРОСА ао,0,,,
2013-07-15,ALRS,АЛРОСА ао,0,,,
2013-07-16,ALRS,АЛРОСА ао,0,,,
2013-07-17,ALRS,АЛРОСА ао,0,,,
2013-07-18,ALRS,АЛРОСА ао,0,,,
2013-07-19,ALRS,АЛРОСА ао,0,,,
2013-07-22,ALRS,АЛРОСА ао,0,,,
2013-07-23,ALRS,АЛРОСА ао,0,,,
2013-07-24,ALRS,АЛРОСА ао,0,,,
2013-07-25,ALRS,АЛРОСА ао,0,,,
2013-07-26,ALRS,АЛРОСА ао,0,,,
2013-07-29,ALRS,АЛРОСА ао,0,,,
2013-07-30,ALRS,АЛРОСА ао,0,,,
2013-07-31,ALRS,АЛРОСА ао,0,,,
2013-08-01,ALRS,АЛРОСА ао,0,,,
2013-08-02,ALRS,АЛРОСА ао,0,,,
2013-08-05,ALRS,АЛРОСА ао,0,,,
2013-08-06,ALRS,АЛРОСА ао,0,,,
2013-08-07,ALRS,АЛРОСА ао,0,,,
2013-08-08,ALRS,АЛРОСА ао,0,,,
2013-08-09,ALRS,АЛРОСА ао,0,,,
2013-08-12,ALRS,АЛРОСА ао,0,,,
2013-08-13,ALRS,АЛРОСА ао,0,,,
2013-08-14,ALRS,АЛРОСА ао,0,,,
2013-08-15,ALRS,АЛРОСА ао,0,,,
2013-08-16,ALRS,АЛРОСА ао,0,,,
2013-08-19,ALRS,АЛРОСА ао,0,,,
2013-08-20,ALRS,АЛРОСА ао,0,,,
2013-08-21,ALRS,АЛРОСА ао,0,,,
2013-08-22,ALRS,АЛРОСА ао,0,,,
2013-08-23,ALRS,АЛРОСА ао,0,,,
2013-08-26,ALRS,АЛРОСА ао,0,,,
2013-08-27,ALRS,АЛРОСА ао,0,,,
2013-08-28,ALRS,АЛРОСА ао,0,,,
2013-08-29,ALRS,АЛРОСА ао,0,,,
2013-08-30,ALRS,АЛРОСА ао,0,,,
2013-09-02,ALRS,АЛРОСА ао,696800,33.0,,
2013-09-03,ALRS,АЛРОСА ао,1257800,33.198,,
2013-09-04,ALRS,АЛРОСА ао,161400,33.327,,
2013-09-05,ALRS,АЛРОСА ао,177200,33.34,,
2013-09-06,ALRS,АЛРОСА ао,370500,33.061,,
2013-09-09,ALRS,АЛРОСА ао,242400,33.299,,
2013-09-10,ALRS,АЛРОСА ао,376400,33.01,,
2013-09-11,ALRS,АЛРОСА ао,362000,32.896,,
2013-09-12,ALRS,АЛРОСА ао,757200,32.999,,
2013-09-13,ALRS,АЛРОСА ао,202200,32.678,,
2013-09-16,ALRS,АЛРОСА ао,41507100,33.25,,
2013-09-17,ALRS,АЛРОСА ао,3411700,33.748,,
2013-09-18,ALRS,АЛРОСА ао,2413900,35.1,,
2013-09-19,ALRS,АЛРОСА ао,973900,35.099,,
2013-09-20,ALRS,АЛРОСА ао,339700,34.51,,
2013-09-23,ALRS,АЛРОСА ао,301900,35.115,,
2013-09-24,ALRS,АЛРОСА ао,353900,34.9,,
2013-09-25,ALRS,АЛРОСА ао,1479100,35.488,,
2013-09-26,ALRS,АЛРОСА ао,1008400,35.5,,
2013-09-27,ALRS,АЛРОСА ао,1252700,36.8,,
2013-09-30,ALRS,АЛРОСА ао,665100,36.0,,
2013-10-01,ALRS,АЛРОСА ао,492600,36.255,,
2013-10-02,ALRS,АЛРОСА ао,2876100,38.502,,
2013-10-03,ALRS,АЛРОСА ао,1938800,39.0,,
2013-10-04,ALRS,АЛРОСА ао,725600,38.7,,
2013-10-07,ALRS,АЛРОСА ао,905600,37.652,,
2013-10-08,ALRS,АЛРОСА ао,714400,37.777,,
2013-10-09,ALRS,АЛРОСА ао,868400,37.0,,
2013-10-10,ALRS,АЛРОСА ао,1944900,36.88,,
2013-10-11,ALRS,АЛРОСА ао,2621700,34.75,,
2013-10-14,ALRS,АЛРОСА ао,929400,34.823,,
2013-10-15,ALRS,АЛРОСА ао,1490900,35.0,,
2013-10-16,ALRS,АЛРОСА ао,530500,34.999,,
2013-10-17,ALRS,АЛРОСА ао,468400,35.1,,
2013-10-18,ALRS,АЛРОСА ао,1079000,35.244,,
2013-10-21,ALRS,АЛРОСА ао,366500,35.003,,
2013-10-22,ALRS,АЛРОСА ао,270000,34.96,,
2013-10-23,ALRS,АЛРОСА ао,790600,34.85,,
2013-10-24,ALRS,АЛРОСА ао,1112900,34.9,,
2013-10-25,ALRS,АЛРОСА ао,1977500,34.95,,
2013-10-28,ALRS,АЛРОСА ао,37784000,35.25,,
2013-10-29,ALRS,АЛРОСА ао,31713200,36.153,,
2013-10-30,ALRS,АЛРОСА ао,29626300,37.4,,
2013-10-31,ALRS,АЛРОСА ао,5338300,36.219,,
2013-11-01,ALRS,АЛРОСА ао,4123000,35.951,,
2013-11-05,ALRS,АЛРОСА ао,4857100,35.2,,
2013-11-06,ALRS,АЛРОСА ао,4257500,36.0,,
2013-11-07,ALRS,АЛРОСА ао,3862900,36.1,,
2013-11-08,ALRS,АЛРОСА ао,1820100,36.1,,
2013-11-11,ALRS,АЛРОСА ао,1104200,36.14,,
2013-11-12,ALRS,АЛРОСА ао,1203400,35.712,,
2013-11-13,ALRS,АЛРОСА ао,8015100,34.753,,
2013-11-14,ALRS,АЛРОСА ао,2417300,35.484,,
2013-11-15,ALRS,АЛРОСА ао,2790400,35.361,,
2013-11-18,ALRS,АЛРОСА ао,1077600,35.51,,
2013-11-19,ALRS,АЛРОСА ао,5481100,35.75,,
2013-11-20,ALRS,АЛРОСА ао,1251300,35.648,,
2013-11-21,ALRS,АЛРОСА ао,1004100,35.399,,
2013-11-22,ALRS,АЛРОСА ао,1012800,35.38,,
2013-11-25,ALRS,АЛРОСА ао,601200,35.056,,
2013-11-26,ALRS,АЛРОСА ао,1234800,34.959,,
2013-11-27,ALRS,АЛРОСА ао,2070900,34.1,,
2013-11-28,ALRS,АЛРОСА ао,1462700,34.25,,
2013-11-29,ALRS,АЛРОСА ао,1538800,34.914,,
2013-12-02,ALRS,АЛРОСА ао,2183900,35.825,,
2013-12-03,ALRS,АЛРОСА ао,1861000,35.289,,
2013-12-04,ALRS,АЛРОСА ао,387400,35.049,,
2013-12-05,ALRS,АЛРОСА ао,418200,35.123,,
2013-12-06,ALRS,АЛРОСА ао,1814300,35.445,,
2013-12-09,ALRS,АЛРОСА ао,1479400,35.029,,
2013-12-10,ALRS,АЛРОСА ао,1785000,34.831,,
2013-12-11,ALRS,АЛРОСА ао,1560200,34.38,,
2013-12-12,ALRS,АЛРОСА ао,1828500,33.19,,
2013-12-13,ALRS,АЛРОСА ао,1575800,32.9,,
2013-12-16,ALRS,АЛРОСА ао,2233000,32.75,,
2013-12-17,ALRS,АЛРОСА ао,1765200,33.198,,
2013-12-18,ALRS,АЛРОСА ао,2103400,34.05,,
2013-12-19,ALRS,АЛРОСА ао,1523200,34.418,,
2013-12-20,ALRS,АЛРОСА ао,861700,34.63,,
2013-12-23,ALRS,АЛРОСА ао,1220600,34.077,,
2013-12-24,ALRS,АЛРОСА ао,373800,34.382,,
2013-12-25,ALRS,АЛРОСА ао,639400,34.549,,
2013-12-26,ALRS,АЛРОСА ао,2763000,34.906,,
2013-12-27,ALRS,АЛРОСА ао,1644300,34.8,,
2013-12-30,ALRS,АЛРОСА ао,2301500,35.67,,
2014-01-06,ALRS,АЛРОСА ао,1537100,33.679,,
2014-01-08,ALRS,АЛРОСА ао,1478700,33.076,,
2014-01-09,ALRS,АЛРОСА ао,1744300,32.75,,
2014-01-10,ALRS,АЛРОСА ао,2966600,33.2,,
2014-01-13,ALRS,АЛРОСА ао,1665100,33.5,,
2014-01-14,ALRS,АЛРОСА ао,2790700,32.648,,
