tradedate,secid,shortname,volume,close,dividends_value,currencyid
2014-06-09,CHMF,СевСт-ао,1814130,296.5,,
2014-06-10,CHMF,СевСт-ао,963070,293.4,,
2014-06-11,CHMF,СевСт-ао,816920,292.5,,
2014-06-16,CHMF,СевСт-ао,2377230,285.4,,
2014-06-17,CHMF,СевСт-ао,1404850,286.5,,
2014-06-18,CHMF,СевСт-ао,1498790,291.9,,
2014-06-19,CHMF,СевСт-ао,1929690,294.0,,
2014-06-20,CHMF,СевСт-ао,1563870,286.2,,
2014-06-23,CHMF,СевСт-ао,835640,285.1,2.43,RUB
2014-06-24,CHMF,СевСт-ао,1505130,291.8,,
2014-06-25,CHMF,СевСт-ао,1271190,284.5,,
2014-06-26,CHMF,СевСт-ао,1590760,280.1,,
2014-06-27,CHMF,СевСт-ао,1078620,280.6,,
2014-06-30,CHMF,СевСт-ао,852750,279.0,,
2014-07-01,CHMF,СевСт-ао,951730,278.7,,
2014-07-02,CHMF,СевСт-ао,1723250,285.7,,
2014-07-03,CHMF,СевСт-ао,1438480,288.7,,
2014-07-04,CHMF,СевСт-ао,1222690,283.4,,
2014-07-07,CHMF,СевСт-ао,1047450,289.5,,
2014-07-08,CHMF,СевСт-ао,2052550,293.0,,
2014-07-09,CHMF,СевСт-ао,1979230,291.4,,
2014-07-10,CHMF,СевСт-ао,2038120,287.8,,
2014-07-11,CHMF,СевСт-ао,1896240,290.9,,
2014-07-14,CHMF,СевСт-ао,1101820,293.5,,
2014-07-15,CHMF,СевСт-ао,2268850,298.2,,
2014-07-16,CHMF,СевСт-ао,1947310,304.5,,
2014-07-17,CHMF,СевСт-ао,2094060,303.9,,
2014-07-18,CHMF,СевСт-ао,2427550,302.0,,
2014-07-21,CHMF,СевСт-ао,3236280,303.9,,
2014-07-22,CHMF,СевСт-ао,3155140,311.7,,
2014-07-23,CHMF,СевСт-ао,2555900,310.0,,
2014-07-24,CHMF,СевСт-ао,1208490,310.5,,
2014-07-25,CHMF,СевСт-ао,1218340,310.1,,
2014-07-28,CHMF,СевСт-ао,1007900,307.9,,
2014-07-29,CHMF,СевСт-ао,2571130,320.0,,
2014-07-30,CHMF,СевСт-ао,3445340,331.3,,
2014-07-31,CHMF,СевСт-ао,3895730,343.0,,
2014-08-01,CHMF,СевСт-ао,2403520,344.9,,
2014-08-04,CHMF,СевСт-ао,1383010,343.1,,
2014-08-05,CHMF,СевСт-ао,2083260,333.1,,
2014-08-06,CHMF,СевСт-ао,2250870,328.3,,
2014-08-07,CHMF,СевСт-ао,2181600,330.7,,
2014-08-08,CHMF,СевСт-ао,2238850,334.1,,
2014-08-11,CHMF,СевСт-ао,2293590,337.5,,
2014-08-12,CHMF,СевСт-ао,1177810,334.1,,
2014-08-13,CHMF,СевСт-ао,1743830,338.5,,
2014-08-14,CHMF,СевСт-ао,1593630,338.7,,
2014-08-15,CHMF,СевСт-ао,1119910,340.0,,
2014-08-18,CHMF,СевСт-ао,819530,343.1,,
2014-08-19,CHMF,СевСт-ао,2129060,353.9,,
2014-08-20,CHMF,СевСт-ао,1752000,362.6,,
2014-08-21,CHMF,СевСт-ао,1994400,363.1,,
2014-08-22,CHMF,СевСт-ао,1408360,360.5,,
2014-08-25,CHMF,СевСт-ао,605310,359.5,,
2014-08-26,CHMF,СевСт-ао,1151560,363.8,,
2014-08-27,CHMF,СевСт-ао,1235990,359.4,,
2014-08-28,CHMF,СевСт-ао,1942360,355.6,,
2014-08-29,CHMF,СевСт-ао,1022820,359.5,,
2014-09-01,CHMF,СевСт-ао,1349900,358.0,,
2014-09-02,CHMF,СевСт-ао,698830,357.1,,
2014-09-03,CHMF,СевСт-ао,1772540,371.7,,
2014-09-04,CHMF,СевСт-ао,1003610,370.0,,
2014-09-05,CHMF,СевСт-ао,1213890,369.0,,
2014-09-08,CHMF,СевСт-ао,853640,366.0,,
2014-09-09,CHMF,СевСт-ао,788840,366.1,,
2014-09-10,CHMF,СевСт-ао,1149430,362.3,,
2014-09-11,CHMF,СевСт-ао,1108140,362.2,,
2014-09-12,CHMF,СевСт-ао,805330,366.7,,
2014-09-15,CHMF,СевСт-ао,1331780,370.7,,
2014-09-16,CHMF,СевСт-ао,1156870,378.3,,
2014-09-17,CHMF,СевСт-ао,1237860,377.5,,
2014-09-18,CHMF,СевСт-ао,1087970,382.0,,
2014-09-19,CHMF,СевСт-ао,1300980,383.7,,
2014-09-22,CHMF,СевСт-ао,966320,378.0,2.14,RUB
2014-09-23,CHMF,СевСт-ао,921400,380.7,,
2014-09-24,CHMF,СевСт-ао,831700,379.6,,
2014-09-25,CHMF,СевСт-ао,590660,379.9,,
2014-09-26,CHMF,СевСт-ао,2064040,390.7,,
2014-09-29,CHMF,СевСт-ао,1755700,394.3,,
2014-09-30,CHMF,СевСт-ао,1629070,393.5,,
2014-10-01,CHMF,СевСт-ао,888720,393.0,,
2014-10-02,CHMF,СевСт-ао,1191200,389.55,,
2014-10-03,CHMF,СевСт-ао,1270660,380.65,,
2014-10-06,CHMF,СевСт-ао,1151090,386.5,,
2014-10-07,CHMF,СевСт-ао,1033900,384.95,,
2014-10-08,CHMF,СевСт-ао,1249660,380.4,,
2014-10-09,CHMF,СевСт-ао,689330,382.5,,
2014-10-10,CHMF,СевСт-ао,4717910,400.0,,
2014-10-13,CHMF,СевСт-ао,2856730,411.9,,
2014-10-14,CHMF,СевСт-ао,1212240,409.0,,
2014-10-15,CHMF,СевСт-ао,1118770,406.1,,
2014-10-16,CHMF,СевСт-ао,1633660,408.55,,
2014-10-17,CHMF,СевСт-ао,921210,410.15,,
2014-10-20,CHMF,СевСт-ао,2717090,414.3,,
2014-10-21,CHMF,СевСт-ао,2553180,428.9,,
2014-10-22,CHMF,СевСт-ао,1683390,421.0,,
2014-10-23,CHMF,СевСт-ао,1515210,422.0,,
2014-10-24,CHMF,СевСт-ао,554850,424.0,,
2014-10-27,CHMF,СевСт-ао,1269700,429.25,,
2014-10-28,CHMF,СевСт-ао,1409600,434.85,,
2014-10-29,CHMF,СевСт-ао,1494720,443.0,,
2014-10-30,CHMF,СевСт-ао,2110660,445.3,,
2014-10-31,CHMF,СевСт-ао,1933090,457.1,,
2014-11-03,CHMF,СевСт-ао,1961190,473.8,,
2014-11-05,CHMF,СевСт-ао,2052750,488.7,,
2014-11-06,CHMF,СевСт-ао,2414210,502.5,,
2014-11-07,CHMF,СевСт-ао,3159290,508.05,,
2014-11-10,CHMF,СевСт-ао,2859250,506.8,,
2014-11-11,CHMF,СевСт-ао,3525320,494.95,,
2014-11-12,CHMF,СевСт-ао,2672150,487.2,,
2014-11-13,CHMF,СевСт-ао,1514680,490.1,,
2014-11-14,CHMF,СевСт-ао,1891710,496.0,,
2014-11-17,CHMF,СевСт-ао,1363000,493.3,,
2014-11-18,CHMF,СевСт-ао,1986300,499.2,,
2014-11-19,CHMF,СевСт-ао,2317230,498.0,,
2014-11-20,CHMF,СевСт-ао,1747550,501.0,,
2014-11-21,CHMF,СевСт-ао,2689960,525.0,,
2014-11-24,CHMF,СевСт-ао,3711690,450.4,,
2014-11-25,CHMF,СевСт-ао,1469230,446.15,54.46,RUB
2014-11-26,CHMF,СевСт-ао,1278470,446.8,,
2014-11-27,CHMF,СевСт-ао,1332550,441.0,,
2014-11-28,CHMF,СевСт-ао,2312120,454.75,,
2014-12-01,CHMF,СевСт-ао,3469180,484.15,,
2014-12-02,CHMF,СевСт-ао,1834470,486.6,,
2014-12-03,CHMF,СевСт-ао,1797860,497.1,,
2014-12-04,CHMF,СевСт-ао,2668450,488.1,,
2014-12-05,CHMF,СевСт-ао,1213540,471.5,,
2014-12-08,CHMF,СевСт-ао,1765680,467.05,,
2014-12-09,CHMF,СевСт-ао,1563490,489.0,,
2014-12-10,CHMF,СевСт-ао,1929560,504.5,,
2014-12-11,CHMF,СевСт-ао,1560850,498.9,,
2014-12-12,CHMF,СевСт-ао,2726260,511.0,,
2014-12-15,CHMF,СевСт-ао,3011740,525.85,,
2014-12-16,CHMF,СевСт-ао,3603790,530.5,,
2014-12-17,CHMF,СевСт-ао,2305920,511.0,,
2014-12-18,CHMF,СевСт-ао,3068890,505.15,,
2014-12-19,CHMF,СевСт-ао,1019160,490.2,,
2014-12-22,CHMF,СевСт-ао,1069360,491.3,,
2014-12-23,CHMF,СевСт-ао,876990,468.8,,
2014-12-24,CHMF,СевСт-ао,708310,484.0,,
2014-12-25,CHMF,СевСт-ао,459780,472.15,,
2014-12-26,CHMF,СевСт-ао,337780,483.45,,
2014-12-29,CHMF,СевСт-ао,885460,503.0,,
2014-12-30,CHMF,СевСт-ао,615670,501.9,,
2015-01-05,CHMF,СевСт-ао,489850,522.0,,
2015-01-06,CHMF,СевСт-ао,1138900,556.9,,
2015-01-08,CHMF,СевСт-ао,1173090,542.7,,
2015-01-09,CHMF,СевСт-ао,782550,548.55,,
2015-01-12,CHMF,СевСт-ао,716080,558.45,,
2015-01-13,CHMF,СевСт-ао,1435290,583.0,,
2015-01-14,CHMF,СевСт-ао,1285620,595.0,,
2015-01-15,CHMF,СевСт-ао,1316660,577.0,,
2015-01-16,CHMF,СевСт-ао,692750,587.9,,
2015-01-19,CHMF,СевСт-ао,1163090,589.0,,
2015-01-20,CHMF,СевСт-ао,841460,586.9,,
2015-01-21,CHMF,СевСт-ао,580840,592.0,,
2015-01-22,CHMF,СевСт-ао,1114280,599.5,,
2015-01-23,CHMF,СевСт-ао,1259680,587.0,,
2015-01-26,CHMF,СевСт-ао,1409650,616.15,,
2015-01-27,CHMF,СевСт-ао,2119350,632.5,,
2015-01-28,CHMF,СевСт-ао,1055380,630.85,,
2015-01-29,CHMF,СевСт-ао,1072220,634.2,,
2015-01-30,CHMF,СевСт-ао,1104810,642.35,,
2015-02-02,CHMF,СевСт-ао,880520,645.9,,
2015-02-03,CHMF,СевСт-ао,1094750,632.0,,
2015-02-04,CHMF,СевСт-ао,1303910,656.0,,
2015-02-05,CHMF,СевСт-ао,1391630,663.4,,
2015-02-06,CHMF,СевСт-ао,1675470,701.2,,
2015-02-09,CHMF,СевСт-ао,1529970,696.0,,
2015-02-10,CHMF,СевСт-ао,876060,688.0,,
2015-02-11,CHMF,СевСт-ао,753290,695.0,,
2015-02-12,CHMF,СевСт-ао,1170910,713.0,,
2015-02-13,CHMF,СевСт-ао,1116260,711.5,,
2015-02-16,CHMF,СевСт-ао,758050,685.0,,
2015-02-17,CHMF,СевСт-ао,1327430,698.6,,
2015-02-18,CHMF,СевСт-ао,1307910,702.0,,
2015-02-19,CHMF,СевСт-ао,875670,706.0,,
2015-02-20,CHMF,СевСт-ао,502150,704.9,,
2015-02-24,CHMF,СевСт-ао,577150,698.1,,
2015-02-25,CHMF,СевСт-ао,728780,689.0,,
2015-02-26,CHMF,СевСт-ао,708980,684.0,,
2015-02-27,CHMF,СевСт-ао,922800,682.0,,
2015-03-02,CHMF,СевСт-ао,603430,707.6,,
2015-03-03,CHMF,СевСт-ао,1819360,738.45,,
2015-03-04,CHMF,СевСт-ао,1286120,730.0,,
2015-03-05,CHMF,СевСт-ао,1117980,730.05,,
2015-03-06,CHMF,СевСт-ао,748250,721.0,,
2015-03-10,CHMF,СевСт-ао,1312150,710.35,,
2015-03-11,CHMF,СевСт-ао,1506610,734.5,,
2015-03-12,CHMF,СевСт-ао,842590,710.0,,
2015-03-13,CHMF,СевСт-ао,837830,708.1,,
2015-03-16,CHMF,СевСт-ао,695340,708.6,,
2015-03-17,CHMF,СевСт-ао,704240,692.8,,
2015-03-18,CHMF,СевСт-ао,941690,690.0,,
2015-03-19,CHMF,СевСт-ао,803910,680.75,,
2015-03-20,CHMF,СевСт-ао,966210,683.0,,
2015-03-23,CHMF,СевСт-ао,786640,674.5,,
2015-03-24,CHMF,СевСт-ао,871990,661.7,,
2015-03-25,CHMF,СевСт-ао,666490,658.15,,
2015-03-26,CHMF,СевСт-ао,988430,636.9,,
2015-03-27,CHMF,СевСт-ао,603720,642.8,,
2015-03-30,CHMF,СевСт-ао,769810,657.0,,
2015-03-31,CHMF,СевСт-ао,985390,658.0,,
2015-04-01,CHMF,СевСт-ао,857390,644.5,,
2015-04-02,CHMF,СевСт-ао,634550,643.0,,
2015-04-03,CHMF,СевСт-ао,340860,641.05,,
2015-04-06,CHMF,СевСт-ао,350940,638.2,,
2015-04-07,CHMF,СевСт-ао,449620,636.9,,
2015-04-08,CHMF,СевСт-ао,831570,620.0,,
2015-04-09,CHMF,СевСт-ао,814210,612.6,,
2015-04-10,CHMF,СевСт-ао,1077080,607.0,,
2015-04-13,CHMF,СевСт-ао,1165130,604.5,,
2015-04-14,CHMF,СевСт-ао,1233360,590.0,,
2015-04-15,CHMF,СевСт-ао,881510,580.95,,
2015-04-16,CHMF,СевСт-ао,1215050,566.55,,
2015-04-17,CHMF,СевСт-ао,1753450,563.0,,
2015-04-20,CHMF,СевСт-ао,1375680,564.95,,
2015-04-21,CHMF,СевСт-ао,904320,569.0,,
2015-04-22,CHMF,СевСт-ао,1327220,572.6,,
2015-04-23,CHMF,СевСт-ао,1602910,548.7,,
2015-04-24,CHMF,СевСт-ао,1393410,550.0,,
2015-04-27,CHMF,СевСт-ао,1365550,565.1,,
2015-04-28,CHMF,СевСт-ао,1446930,575.3,,
2015-04-29,CHMF,СевСт-ао,1049070,570.6,,
2015-04-30,CHMF,СевСт-ао,960000,578.55,,
2015-05-05,CHMF,СевСт-ао,1159390,576.5,,
2015-05-06,CHMF,СевСт-ао,1308440,571.8,,
2015-05-07,CHMF,СевСт-ао,1422500,583.0,,
2015-05-08,CHMF,СевСт-ао,1205960,589.8,,
2015-05-12,CHMF,СевСт-ао,1593480,617.0,,
2015-05-13,CHMF,СевСт-ао,1371840,595.7,,
2015-05-14,CHMF,СевСт-ао,1631030,620.3,,
2015-05-15,CHMF,СевСт-ао,1212540,621.7,,
2015-05-18,CHMF,СевСт-ао,1334130,605.2,,
2015-05-19,CHMF,СевСт-ао,889180,603.9,,
2015-05-20,CHMF,СевСт-ао,604600,596.6,,
2015-05-21,CHMF,СевСт-ао,1263740,615.1,,
2015-05-22,CHMF,СевСт-ао,1141030,617.6,,
2015-05-25,CHMF,СевСт-ао,551360,613.8,,
2015-05-26,CHMF,СевСт-ао,601010,617.2,,
2015-05-27,CHMF,СевСт-ао,1182010,630.9,,
2015-05-28,CHMF,СевСт-ао,1089310,629.2,,
2015-05-29,CHMF,СевСт-ао,1330990,608.4,,
2015-06-01,CHMF,СевСт-ао,1072600,611.1,,
2015-06-02,CHMF,СевСт-ао,551080,615.0,,
2015-06-03,CHMF,СевСт-ао,1484430,622.0,,
2015-06-04,CHMF,СевСт-ао,1008110,607.9,,
2015-06-05,CHMF,СевСт-ао,904660,618.1,12.81,RUB
