tradedate,secid,shortname,volume,close,dividends_value,currencyid
2014-06-09,FEES,Россети,3624980000,0.05968,,
2014-06-10,FEES,Россети,3298900000,0.05965,,
2014-06-11,FEES,Россети,5055990000,0.06015,,
2014-06-16,FEES,Россети,4395110000,0.0592,,
2014-06-17,FEES,Россети,3746530000,0.05808,,
2014-06-18,FEES,Россети,5270550000,0.05875,,
2014-06-19,FEES,Россети,4480050000,0.059,,
2014-06-20,FEES,Россети,5107330000,0.05725,,
2014-06-23,FEES,Россети,3247370000,0.0583,,
2014-06-24,FEES,Россети,4284700000,0.05982,,
2014-06-25,FEES,Россети,3029350000,0.05919,,
2014-06-26,FEES,Россети,4491260000,0.0598,,
2014-06-27,FEES,Россети,2025570000,0.059,,
2014-06-30,FEES,Россети,1848470000,0.05886,,
2014-07-01,FEES,Россети,1726200000,0.05895,,
2014-07-02,FEES,Россети,2972800000,0.05954,,
2014-07-03,FEES,Россети,6462680000,0.06097,,
2014-07-04,FEES,Россети,3779560000,0.05929,,
2014-07-07,FEES,Россети,2078820000,0.06024,,
2014-07-08,FEES,Россети,3279760000,0.05913,,
2014-07-09,FEES,Россети,2790660000,0.05882,,
2014-07-10,FEES,Россети,3720100000,0.05766,,
2014-07-11,FEES,Россети,2048850000,0.05837,,
2014-07-14,FEES,Россети,2328320000,0.05797,,
2014-07-15,FEES,Россети,2352710000,0.05724,,
2014-07-16,FEES,Россети,2133670000,0.05706,0.0,RUB
2014-07-17,FEES,Россети,3296710000,0.05608,,
2014-07-18,FEES,Россети,3742570000,0.05451,,
2014-07-21,FEES,Россети,3864640000,0.05413,,
2014-07-22,FEES,Россети,2301010000,0.05481,,
2014-07-23,FEES,Россети,4908350000,0.05428,,
2014-07-24,FEES,Россети,1595250000,0.0536,,
2014-07-25,FEES,Россети,2983580000,0.0534,,
2014-07-28,FEES,Россети,3563310000,0.05143,,
2014-07-29,FEES,Россети,4343400000,0.0518,,
2014-07-30,FEES,Россети,2609030000,0.05284,,
2014-07-31,FEES,Россети,1814720000,0.05259,,
2014-08-01,FEES,Россети,2622770000,0.05379,,
2014-08-04,FEES,Россети,3866230000,0.055,,
2014-08-05,FEES,Россети,2424860000,0.05437,,
2014-08-06,FEES,Россети,2156440000,0.05302,,
2014-08-07,FEES,Россети,3562510000,0.05221,,
2014-08-08,FEES,Россети,3372530000,0.05333,,
2014-08-11,FEES,Россети,1376840000,0.05411,,
2014-08-12,FEES,Россети,1557820000,0.05381,,
2014-08-13,FEES,Россети,2458500000,0.05416,,
2014-08-14,FEES,Россети,2148270000,0.05426,,
2014-08-15,FEES,Россети,2319770000,0.05466,,
2014-08-18,FEES,Россети,1706870000,0.05417,,
2014-08-19,FEES,Россети,3146340000,0.05589,,
2014-08-20,FEES,Россети,2752810000,0.05568,,
2014-08-21,FEES,Россети,2306750000,0.05527,,
2014-08-22,FEES,Россети,2051000000,0.05498,,
2014-08-25,FEES,Россети,2296130000,0.05608,,
2014-08-26,FEES,Россети,2340620000,0.05471,,
2014-08-27,FEES,Россети,1821860000,0.05511,,
2014-08-28,FEES,Россети,3545460000,0.0549,,
2014-08-29,FEES,Россети,2126950000,0.054,,
2014-09-01,FEES,Россети,3125390000,0.05383,,
2014-09-02,FEES,Россети,1968950000,0.05431,,
2014-09-03,FEES,Россети,4500930000,0.0562,,
2014-09-04,FEES,Россети,4827220000,0.05522,,
2014-09-05,FEES,Россети,3744120000,0.05505,,
2014-09-08,FEES,Россети,1550990000,0.0547,,
2014-09-09,FEES,Россети,4684290000,0.05575,,
2014-09-10,FEES,Россети,3078880000,0.05569,,
2014-09-11,FEES,Россети,3046410000,0.05568,,
2014-09-12,FEES,Россети,1556380000,0.05622,,
2014-09-15,FEES,Россети,2974490000,0.0558,,
2014-09-16,FEES,Россети,2259900000,0.05618,,
2014-09-17,FEES,Россети,2001570000,0.05538,,
2014-09-18,FEES,Россети,1332210000,0.05593,,
2014-09-19,FEES,Россети,3150130000,0.0567,,
2014-09-22,FEES,Россети,4582120000,0.05761,,
2014-09-23,FEES,Россети,2201860000,0.05721,,
2014-09-24,FEES,Россети,1264170000,0.05683,,
2014-09-25,FEES,Россети,1833160000,0.0569,,
2014-09-26,FEES,Россети,2197140000,0.057,,
2014-09-29,FEES,Россети,2508260000,0.0574,,
2014-09-30,FEES,Россети,1891920000,0.05645,,
2014-10-01,FEES,Россети,1404730000,0.05545,,
2014-10-02,FEES,Россети,1818760000,0.0541,,
2014-10-03,FEES,Россети,1092020000,0.05469,,
2014-10-06,FEES,Россети,1343800000,0.05601,,
2014-10-07,FEES,Россети,604460000,0.05597,,
2014-10-08,FEES,Россети,1210950000,0.0547,,
2014-10-09,FEES,Россети,1313800000,0.0552,,
2014-10-10,FEES,Россети,2387750000,0.05471,,
2014-10-13,FEES,Россети,1305990000,0.05523,,
2014-10-14,FEES,Россети,1650840000,0.0563,,
2014-10-15,FEES,Россети,872330000,0.05508,,
2014-10-16,FEES,Россети,1574910000,0.05555,,
2014-10-17,FEES,Россети,1138770000,0.05571,,
2014-10-20,FEES,Россети,883820000,0.05565,,
2014-10-21,FEES,Россети,1304890000,0.0558,,
2014-10-22,FEES,Россети,1388500000,0.05461,,
2014-10-23,FEES,Россети,2323750000,0.0538,,
2014-10-24,FEES,Россети,734090000,0.0538,,
2014-10-27,FEES,Россети,1904100000,0.05381,,
2014-10-28,FEES,Россети,987130000,0.0539,,
2014-10-29,FEES,Россети,2508930000,0.05402,,
2014-10-30,FEES,Россети,1161640000,0.05422,,
2014-10-31,FEES,Россети,1627820000,0.05361,,
2014-11-03,FEES,Россети,1872570000,0.05488,,
2014-11-05,FEES,Россети,1621320000,0.05452,,
2014-11-06,FEES,Россети,2067550000,0.05408,,
