tradedate,secid,shortname,volume,close,dividends_value,currencyid
2014-06-09,GAZP,ГАЗПРОМ ао,40347300,144.4,,
2014-06-10,GAZP,ГАЗПРОМ ао,41460990,144.75,,
2014-06-11,GAZP,ГАЗПРОМ ао,39418520,146.4,,
2014-06-16,GAZP,ГАЗПРОМ ао,77165360,145.2,,
2014-06-17,GAZP,ГАЗПРОМ ао,44370530,144.77,,
2014-06-18,GAZP,ГАЗПРОМ ао,33270240,145.0,,
2014-06-19,GAZP,ГАЗПРОМ ао,44670940,145.2,,
2014-06-20,GAZP,ГАЗПРОМ ао,33779020,145.6,,
2014-06-23,GAZP,ГАЗПРОМ ао,33923270,147.17,,
2014-06-24,GAZP,ГАЗПРОМ ао,87546740,153.25,,
2014-06-25,GAZP,ГАЗПРОМ ао,65879300,149.26,,
2014-06-26,GAZP,ГАЗПРОМ ао,53026000,147.44,,
2014-06-27,GAZP,ГАЗПРОМ ао,34563280,149.39,,
2014-06-30,GAZP,ГАЗПРОМ ао,35020610,148.96,,
2014-07-01,GAZP,ГАЗПРОМ ао,39080070,148.97,,
2014-07-02,GAZP,ГАЗПРОМ ао,48839500,151.95,,
2014-07-03,GAZP,ГАЗПРОМ ао,48933580,152.3,,
2014-07-04,GAZP,ГАЗПРОМ ао,38192290,149.13,,
2014-07-07,GAZP,ГАЗПРОМ ао,34302070,150.31,,
2014-07-08,GAZP,ГАЗПРОМ ао,50005770,151.43,,
2014-07-09,GAZP,ГАЗПРОМ ао,44106880,150.4,,
2014-07-10,GAZP,ГАЗПРОМ ао,58690960,148.79,,
2014-07-11,GAZP,ГАЗПРОМ ао,36005010,148.15,,
2014-07-14,GAZP,ГАЗПРОМ ао,38407230,147.5,,
2014-07-15,GAZP,ГАЗПРОМ ао,55159950,146.52,,
2014-07-16,GAZP,ГАЗПРОМ ао,55942320,142.5,,
2014-07-17,GAZP,ГАЗПРОМ ао,61550720,140.0,7.2,RUB
2014-07-18,GAZP,ГАЗПРОМ ао,53377680,139.26,,
2014-07-21,GAZP,ГАЗПРОМ ао,46735750,136.01,,
2014-07-22,GAZP,ГАЗПРОМ ао,35508000,137.75,,
2014-07-23,GAZP,ГАЗПРОМ ао,35700000,136.29,,
2014-07-24,GAZP,ГАЗПРОМ ао,23345280,136.9,,
2014-07-25,GAZP,ГАЗПРОМ ао,35511270,135.12,,
2014-07-28,GAZP,ГАЗПРОМ ао,44904250,132.0,,
2014-07-29,GAZP,ГАЗПРОМ ао,36865680,131.31,,
2014-07-30,GAZP,ГАЗПРОМ ао,42608490,133.4,,
2014-07-31,GAZP,ГАЗПРОМ ао,41187230,132.0,,
2014-08-01,GAZP,ГАЗПРОМ ао,31759700,131.5,,
2014-08-04,GAZP,ГАЗПРОМ ао,44534400,129.5,,
2014-08-05,GAZP,ГАЗПРОМ ао,46432510,126.57,,
2014-08-06,GAZP,ГАЗПРОМ ао,68355310,124.7,,
2014-08-07,GAZP,ГАЗПРОМ ао,64225030,126.92,,
2014-08-08,GAZP,ГАЗПРОМ ао,56280080,126.55,,
2014-08-11,GAZP,ГАЗПРОМ ао,43145400,128.3,,
2014-08-12,GAZP,ГАЗПРОМ ао,38147150,128.0,,
