tradedate,secid,shortname,volume,close,dividends_value,currencyid
2014-06-09,GMKN,ГМКНорНик,212826,7029.0,,
2014-06-10,GMKN,ГМКНорНик,207612,6900.0,,
2014-06-11,GMKN,ГМКНорНик,207715,6940.0,,
2014-06-16,GMKN,ГМКНорНик,520423,6649.0,,
2014-06-17,GMKN,ГМКНорНик,219261,6622.0,248.48,RUB
2014-06-18,GMKN,ГМКНорНик,276596,6780.0,,
2014-06-19,GMKN,ГМКНорНик,188079,6839.0,,
2014-06-20,GMKN,ГМКНорНик,247349,6865.0,,
2014-06-23,GMKN,ГМКНорНик,195573,6899.0,,
2014-06-24,GMKN,ГМКНорНик,191568,6895.0,,
2014-06-25,GMKN,ГМКНорНик,191597,6766.0,,
2014-06-26,GMKN,ГМКНорНик,228827,6720.0,,
2014-06-27,GMKN,ГМКНорНик,120365,6715.0,,
2014-06-30,GMKN,ГМКНорНик,163975,6719.0,,
2014-07-01,GMKN,ГМКНорНик,132268,6798.0,,
2014-07-02,GMKN,ГМКНорНик,204711,6920.0,,
2014-07-03,GMKN,ГМКНорНик,231628,7005.0,,
2014-07-04,GMKN,ГМКНорНик,148269,6971.0,,
2014-07-07,GMKN,ГМКНорНик,184810,7149.0,,
2014-07-08,GMKN,ГМКНорНик,381218,7280.0,,
2014-07-09,GMKN,ГМКНорНик,167278,7316.0,,
2014-07-10,GMKN,ГМКНорНик,317565,7210.0,,
2014-07-11,GMKN,ГМКНорНик,158768,7260.0,,
2014-07-14,GMKN,ГМКНорНик,124991,7263.0,,
2014-07-15,GMKN,ГМКНорНик,204730,7300.0,,
2014-07-16,GMKN,ГМКНорНик,274249,7160.0,,
2014-07-17,GMKN,ГМКНорНик,342601,7135.0,,
2014-07-18,GMKN,ГМКНорНик,280507,7010.0,,
2014-07-21,GMKN,ГМКНорНик,254739,6819.0,,
2014-07-22,GMKN,ГМКНорНик,220574,7009.0,,
2014-07-23,GMKN,ГМКНорНик,206070,7145.0,,
2014-07-24,GMKN,ГМКНорНик,130980,7219.0,,
2014-07-25,GMKN,ГМКНорНик,275582,7039.0,,
2014-07-28,GMKN,ГМКНорНик,194139,6981.0,,
2014-07-29,GMKN,ГМКНорНик,186122,7030.0,,
2014-07-30,GMKN,ГМКНорНик,207320,7083.0,,
2014-07-31,GMKN,ГМКНорНик,163860,7060.0,,
2014-08-01,GMKN,ГМКНорНик,202172,6953.0,,
2014-08-04,GMKN,ГМКНорНик,178477,7000.0,,
2014-08-05,GMKN,ГМКНорНик,217880,6856.0,,
2014-08-06,GMKN,ГМКНорНик,273368,6733.0,,
2014-08-07,GMKN,ГМКНорНик,220177,6800.0,,
2014-08-08,GMKN,ГМКНорНик,189087,6883.0,,
2014-08-11,GMKN,ГМКНорНик,155984,6995.0,,
2014-08-12,GMKN,ГМКНорНик,140852,6917.0,,
2014-08-13,GMKN,ГМКНорНик,236680,6980.0,,
2014-08-14,GMKN,ГМКНорНик,182079,6961.0,,
2014-08-15,GMKN,ГМКНорНик,149909,7025.0,,
2014-08-18,GMKN,ГМКНорНик,92357,7065.0,,
2014-08-19,GMKN,ГМКНорНик,235034,7300.0,,
2014-08-20,GMKN,ГМКНорНик,225976,7447.0,,
2014-08-21,GMKN,ГМКНорНик,249759,7445.0,,
2014-08-22,GMKN,ГМКНорНик,174863,7300.0,,
2014-08-25,GMKN,ГМКНорНик,69782,7342.0,,
2014-08-26,GMKN,ГМКНорНик,147759,7252.0,,
2014-08-27,GMKN,ГМКНорНик,114514,7300.0,,
2014-08-28,GMKN,ГМКНорНик,225254,7280.0,,
2014-08-29,GMKN,ГМКНорНик,221671,7230.0,,
2014-09-01,GMKN,ГМКНорНик,192938,7240.0,,
2014-09-02,GMKN,ГМКНорНик,150051,7177.0,,
2014-09-03,GMKN,ГМКНорНик,392697,7331.0,,
2014-09-04,GMKN,ГМКНорНик,217143,7309.0,,
2014-09-05,GMKN,ГМКНорНик,433199,7521.0,,
2014-09-08,GMKN,ГМКНорНик,232197,7510.0,,
2014-09-09,GMKN,ГМКНорНик,165841,7393.0,,
2014-09-10,GMKN,ГМКНорНик,174874,7380.0,,
2014-09-11,GMKN,ГМКНорНик,180003,7334.0,,
2014-09-12,GMKN,ГМКНорНик,173654,7400.0,,
2014-09-15,GMKN,ГМКНорНик,270268,7460.0,,
2014-09-16,GMKN,ГМКНорНик,294756,7625.0,,
2014-09-17,GMKN,ГМКНорНик,276647,7647.0,,
2014-09-18,GMKN,ГМКНорНик,140846,7647.0,,
2014-09-19,GMKN,ГМКНорНик,270483,7485.0,,
2014-09-22,GMKN,ГМКНорНик,384981,7160.0,,
2014-09-23,GMKN,ГМКНорНик,177359,7279.0,,
2014-09-24,GMKN,ГМКНорНик,145576,7325.0,,
2014-09-25,GMKN,ГМКНорНик,242803,7425.0,,
2014-09-26,GMKN,ГМКНорНик,192481,7498.0,,
2014-09-29,GMKN,ГМКНорНик,212698,7320.0,,
2014-09-30,GMKN,ГМКНорНик,276646,7320.0,,
