tradedate,secid,shortname,volume,close,dividends_value,currencyid
2014-06-09,KMAZ,КАМАЗ,16400,37.24,,
2014-06-10,KMAZ,КАМАЗ,11500,37.06,,
2014-06-11,KMAZ,КАМАЗ,12600,37.0,,
2014-06-16,KMAZ,КАМАЗ,42700,36.2,,
2014-06-17,KMAZ,КАМАЗ,14200,36.4,,
2014-06-18,KMAZ,КАМАЗ,11600,36.52,,
2014-06-19,KMAZ,КАМАЗ,16300,37.05,,
2014-06-20,KMAZ,КАМАЗ,10000,37.09,,
2014-06-23,KMAZ,КАМАЗ,6200,36.91,,
2014-06-24,KMAZ,КАМАЗ,23300,37.58,,
2014-06-25,KMAZ,КАМАЗ,16600,37.03,,
2014-06-26,KMAZ,КАМАЗ,8600,37.71,,
2014-06-27,KMAZ,КАМАЗ,7400,37.26,,
2014-06-30,KMAZ,КАМАЗ,4300,37.48,,
2014-07-01,KMAZ,КАМАЗ,8000,37.48,,
2014-07-02,KMAZ,КАМАЗ,6800,37.7,,
2014-07-03,KMAZ,КАМАЗ,12400,37.6,,
2014-07-04,KMAZ,КАМАЗ,16600,37.11,,
2014-07-07,KMAZ,КАМАЗ,22200,36.92,,
2014-07-08,KMAZ,КАМАЗ,13700,36.85,,
2014-07-09,KMAZ,КАМАЗ,4300,36.52,,
2014-07-10,KMAZ,КАМАЗ,290900,36.79,,
2014-07-11,KMAZ,КАМАЗ,23400,36.06,,
2014-07-14,KMAZ,КАМАЗ,15900,35.7,,
2014-07-15,KMAZ,КАМАЗ,16400,35.44,,
2014-07-16,KMAZ,КАМАЗ,28600,35.45,,
2014-07-17,KMAZ,КАМАЗ,78500,34.02,,
2014-07-18,KMAZ,КАМАЗ,18700,33.95,,
2014-07-21,KMAZ,КАМАЗ,136100,33.45,,
2014-07-22,KMAZ,КАМАЗ,43200,33.64,,
2014-07-23,KMAZ,КАМАЗ,12700,33.64,,
2014-07-24,KMAZ,КАМАЗ,21400,33.67,,
2014-07-25,KMAZ,КАМАЗ,5700,33.27,,
2014-07-28,KMAZ,КАМАЗ,20300,33.2,,
2014-07-29,KMAZ,КАМАЗ,281800,33.19,,
2014-07-30,KMAZ,КАМАЗ,24700,33.0,,
2014-07-31,KMAZ,КАМАЗ,21400,32.84,,
