tradedate,secid,shortname,volume,close,dividends_value,currencyid
2013-03-25,LKOH,ЛУКОЙЛ,32441,1922.0,,
2013-03-26,LKOH,ЛУКОЙЛ,3653,1944.5,,
2013-03-27,LKOH,ЛУКОЙЛ,1924,1969.7,,
2013-03-28,LKOH,ЛУКОЙЛ,3398,1993.2,,
2013-03-29,LKOH,ЛУКОЙЛ,1908,2003.4,,
2013-04-01,LKOH,ЛУКОЙЛ,20889,1978.2,,
2013-04-02,LKOH,ЛУКОЙЛ,6961,2002.2,,
2013-04-03,LKOH,ЛУКОЙЛ,12895,1978.9,,
2013-04-04,LKOH,ЛУКОЙЛ,7302,1966.9,,
2013-04-05,LKOH,ЛУКОЙЛ,15492,1942.8,,
2013-04-08,LKOH,ЛУКОЙЛ,9019,1924.3,,
2013-04-09,LKOH,ЛУКОЙЛ,8348,1965.9,,
2013-04-10,LKOH,ЛУКОЙЛ,12695,1942.3,,
2013-04-11,LKOH,ЛУКОЙЛ,20008,1920.0,,
2013-04-12,LKOH,ЛУКОЙЛ,9880,1934.4,,
2013-04-15,LKOH,ЛУКОЙЛ,21683,1886.0,,
2013-04-16,LKOH,ЛУКОЙЛ,6545,1899.4,,
2013-04-17,LKOH,ЛУКОЙЛ,14082,1892.3,,
2013-04-18,LKOH,ЛУКОЙЛ,12015,1893.9,,
2013-04-19,LKOH,ЛУКОЙЛ,8647,1887.6,,
2013-04-22,LKOH,ЛУКОЙЛ,12325,1849.7,,
2013-04-23,LKOH,ЛУКОЙЛ,14752,1890.6,,
2013-04-24,LKOH,ЛУКОЙЛ,15746,1963.5,,
2013-04-25,LKOH,ЛУКОЙЛ,32809,1960.0,,
2013-04-26,LKOH,ЛУКОЙЛ,44675,1965.5,,
2013-04-29,LKOH,ЛУКОЙЛ,18158,1935.9,,
2013-04-30,LKOH,ЛУКОЙЛ,27747,1963.8,,
2013-05-02,LKOH,ЛУКОЙЛ,39271,1974.7,,
2013-05-03,LKOH,ЛУКОЙЛ,44545,2008.7,,
2013-05-06,LKOH,ЛУКОЙЛ,47547,2016.6,,
