tradedate,secid,shortname,volume,close,dividends_value,currencyid
2013-07-08,MGNT,Магнит ао,55,7040.0,,
2013-07-09,MGNT,Магнит ао,20,7240.0,,
2013-07-10,MGNT,Магнит ао,1,7100.0,,
2013-07-11,MGNT,Магнит ао,25,7175.8,,
2013-07-12,MGNT,Магнит ао,20,7293.0,,
2013-07-15,MGNT,Магнит ао,0,,,
2013-07-16,MGNT,Магнит ао,0,,,
2013-07-17,MGNT,Магнит ао,293,7350.0,,
2013-07-18,MGNT,Магнит ао,180,7350.0,,
2013-07-19,MGNT,Магнит ао,192,7650.1,,
2013-07-22,MGNT,Магнит ао,15,7815.0,,
2013-07-23,MGNT,Магнит ао,32,8100.0,,
2013-07-24,MGNT,Магнит ао,31,7935.0,,
2013-07-25,MGNT,Магнит ао,2,8020.0,,
2013-07-26,MGNT,Магнит ао,374,8222.0,,
2013-07-29,MGNT,Магнит ао,25,8000.0,,
2013-07-30,MGNT,Магнит ао,20,8165.0,,
2013-07-31,MGNT,Магнит ао,3,8050.0,,
2013-08-01,MGNT,Магнит ао,15,8130.0,,
2013-08-02,MGNT,Магнит ао,12,8000.0,,
2013-08-05,MGNT,Магнит ао,0,,,
2013-08-06,MGNT,Магнит ао,1000,8040.0,,
2013-08-07,MGNT,Магнит ао,4,8020.0,,
2013-08-08,MGNT,Магнит ао,0,,,
2013-08-09,MGNT,Магнит ао,0,,46.06,RUB
2013-08-12,MGNT,Магнит ао,0,,,
2013-08-13,MGNT,Магнит ао,0,,,
2013-08-14,MGNT,Магнит ао,0,,,
2013-08-15,MGNT,Магнит ао,9,8005.0,,
2013-08-16,MGNT,Магнит ао,1,8050.0,,
2013-08-19,MGNT,Магнит ао,90,7970.0,,
2013-08-20,MGNT,Магнит ао,0,,,
2013-08-21,MGNT,Магнит ао,0,,,
2013-08-22,MGNT,Магнит ао,2,7834.9,,
2013-08-23,MGNT,Магнит ао,5,7989.5,,
2013-08-26,MGNT,Магнит ао,8,7815.0,,
2013-08-27,MGNT,Магнит ао,338,7500.1,,
2013-08-28,MGNT,Магнит ао,669,7280.0,,
2013-08-29,MGNT,Магнит ао,263,7420.0,,
2013-08-30,MGNT,Магнит ао,33,7400.0,,
2013-09-02,MGNT,Магнит ао,71535,7566.7,,
2013-09-03,MGNT,Магнит ао,70043,7500.0,,
2013-09-04,MGNT,Магнит ао,69131,7529.5,,
2013-09-05,MGNT,Магнит ао,84825,7735.0,,
2013-09-06,MGNT,Магнит ао,94978,7671.8,,
2013-09-09,MGNT,Магнит ао,61087,7709.1,,
2013-09-10,MGNT,Магнит ао,96128,7764.2,,
2013-09-11,MGNT,Магнит ао,61792,7840.0,,
2013-09-12,MGNT,Магнит ао,94875,8090.0,,
2013-09-13,MGNT,Магнит ао,85432,8055.0,,
2013-09-16,MGNT,Магнит ао,170144,8171.2,,
2013-09-17,MGNT,Магнит ао,37179,8113.1,,
2013-09-18,MGNT,Магнит ао,83406,8083.2,,
