tradedate,secid,shortname,volume,close,dividends_value,currencyid
2013-04-04,MOEX,МосБиржа,210880,48.13,,
2013-04-05,MOEX,МосБиржа,345780,47.69,,
2013-04-08,MOEX,МосБиржа,227840,47.54,,
2013-04-09,MOEX,МосБиржа,425000,47.48,,
2013-04-10,MOEX,МосБиржа,140100,46.96,,
2013-04-11,MOEX,МосБиржа,482700,45.73,,
2013-04-12,MOEX,МосБиржа,749350,45.63,,
2013-04-15,MOEX,МосБиржа,307500,45.59,,
2013-04-16,MOEX,МосБиржа,380600,43.43,,
2013-04-17,MOEX,МосБиржа,254050,43.43,,
2013-04-18,MOEX,МосБиржа,200200,42.63,,
2013-04-19,MOEX,МосБиржа,92620,43.46,,
2013-04-22,MOEX,МосБиржа,106750,43.65,,
2013-04-23,MOEX,МосБиржа,85000,43.95,,
2013-04-24,MOEX,МосБиржа,102610,44.52,,
2013-04-25,MOEX,МосБиржа,512500,44.22,,
2013-04-26,MOEX,МосБиржа,2676010,44.68,,
2013-04-29,MOEX,МосБиржа,132770,44.61,,
2013-04-30,MOEX,МосБиржа,3503820,44.91,,
2013-05-02,MOEX,МосБиржа,1180540,44.42,,
2013-05-03,MOEX,МосБиржа,910300,44.55,,
2013-05-06,MOEX,МосБиржа,1484670,46.1,,
2013-05-07,MOEX,МосБиржа,838770,47.2,,
2013-05-08,MOEX,МосБиржа,354300,48.7,,
2013-05-10,MOEX,МосБиржа,444110,48.6,,
2013-05-13,MOEX,МосБиржа,168070,48.74,,
2013-05-14,MOEX,МосБиржа,349280,48.87,,
2013-05-15,MOEX,МосБиржа,325170,50.26,,
2013-05-16,MOEX,МосБиржа,192490,50.27,,
2013-05-17,MOEX,МосБиржа,63000,49.3,,
2013-05-20,MOEX,МосБиржа,111000,48.72,,
2013-05-21,MOEX,МосБиржа,1516310,51.4,,
2013-05-22,MOEX,МосБиржа,364310,53.75,,
2013-05-23,MOEX,МосБиржа,883050,53.85,,
2013-05-24,MOEX,МосБиржа,192550,53.32,,
2013-05-27,MOEX,МосБиржа,50000,53.29,,
2013-05-28,MOEX,МосБиржа,72860,53.93,,
2013-05-29,MOEX,МосБиржа,6553290,53.68,,
2013-05-30,MOEX,МосБиржа,247660,53.46,,
2013-05-31,MOEX,МосБиржа,69260,53.73,,
2013-06-03,MOEX,МосБиржа,759330,52.85,,
2013-06-04,MOEX,МосБиржа,153520,52.33,,
2013-06-05,MOEX,МосБиржа,309170,52.58,,
2013-06-06,MOEX,МосБиржа,1084850,53.19,,
2013-06-07,MOEX,МосБиржа,175000,53.56,,
2013-06-10,MOEX,МосБиржа,325530,53.6,,
2013-06-11,MOEX,МосБиржа,420000,52.59,,
2013-06-13,MOEX,МосБиржа,365070,52.11,,
2013-06-14,MOEX,МосБиржа,422500,51.14,,
2013-06-17,MOEX,МосБиржа,285160,52.56,,
2013-06-18,MOEX,МосБиржа,472080,52.79,,
2013-06-19,MOEX,МосБиржа,272560,51.98,,
2013-06-20,MOEX,МосБиржа,374980,51.31,,
2013-06-21,MOEX,МосБиржа,347500,50.22,,
2013-06-24,MOEX,МосБиржа,802020,50.71,,
2013-06-25,MOEX,МосБиржа,1121000,51.65,,
2013-06-26,MOEX,МосБиржа,868430,52.17,,
2013-06-27,MOEX,МосБиржа,1399010,52.61,,
2013-06-28,MOEX,МосБиржа,1433510,52.98,,
2013-07-01,MOEX,МосБиржа,396710,53.8,,
2013-07-02,MOEX,МосБиржа,447670,53.82,,
2013-07-03,MOEX,МосБиржа,396160,53.41,,
2013-07-04,MOEX,МосБиржа,351070,53.58,,
2013-07-05,MOEX,МосБиржа,568920,53.6,,
2013-07-08,MOEX,МосБиржа,452670,53.77,,
2013-07-09,MOEX,МосБиржа,402510,53.7,,
