tradedate,secid,shortname,volume,close,dividends_value,currencyid
2013-07-08,MSNG,+МосЭнерго,0,,,
2013-07-09,MSNG,+МосЭнерго,0,,,
2013-07-10,MSNG,+МосЭнерго,0,,,
2013-07-11,MSNG,+МосЭнерго,0,,,
2013-07-12,MSNG,+МосЭнерго,0,,,
2013-07-15,MSNG,+МосЭнерго,0,,,
2013-07-16,MSNG,+МосЭнерго,0,,,
2013-07-17,MSNG,+МосЭнерго,0,,,
2013-07-18,MSNG,+МосЭнерго,0,,,
2013-07-19,MSNG,+МосЭнерго,0,,,
2013-07-22,MSNG,+МосЭнерго,0,,,
2013-07-23,MSNG,+МосЭнерго,0,,,
2013-07-24,MSNG,+МосЭнерго,0,,,
2013-07-25,MSNG,+МосЭнерго,0,,,
2013-07-26,MSNG,+МосЭнерго,0,,,
2013-07-29,MSNG,+МосЭнерго,0,,,
2013-07-30,MSNG,+МосЭнерго,0,,,
2013-07-31,MSNG,+МосЭнерго,0,,,
2013-08-01,MSNG,+МосЭнерго,1000,1.001,,
2013-08-02,MSNG,+МосЭнерго,0,,,
2013-08-05,MSNG,+МосЭнерго,0,,,
2013-08-06,MSNG,+МосЭнерго,0,,,
2013-08-07,MSNG,+МосЭнерго,0,,,
2013-08-08,MSNG,+МосЭнерго,0,,,
2013-08-09,MSNG,+МосЭнерго,0,,,
2013-08-12,MSNG,+МосЭнерго,0,,,
2013-08-13,MSNG,+МосЭнерго,0,,,
2013-08-14,MSNG,+МосЭнерго,0,,,
2013-08-15,MSNG,+МосЭнерго,0,,,
2013-08-16,MSNG,+МосЭнерго,0,,,
2013-08-19,MSNG,+МосЭнерго,1000,1.0005,,
2013-08-20,MSNG,+МосЭнерго,192000,1.1097,,
2013-08-21,MSNG,+МосЭнерго,3000,1.4441,,
2013-08-22,MSNG,+МосЭнерго,0,,,
2013-08-23,MSNG,+МосЭнерго,0,,,
2013-08-26,MSNG,+МосЭнерго,1000,1.135,,
2013-08-27,MSNG,+МосЭнерго,0,,,
2013-08-28,MSNG,+МосЭнерго,1000,1.15,,
2013-08-29,MSNG,+МосЭнерго,0,,,
2013-08-30,MSNG,+МосЭнерго,1000,1.0918,,
2013-09-02,MSNG,+МосЭнерго,5526000,1.0808,,
2013-09-03,MSNG,+МосЭнерго,10279000,1.0936,,
2013-09-04,MSNG,+МосЭнерго,6430000,1.0844,,
2013-09-05,MSNG,+МосЭнерго,14547000,1.088,,
2013-09-06,MSNG,+МосЭнерго,15407000,1.0704,,
2013-09-09,MSNG,+МосЭнерго,13983000,1.0935,,
2013-09-10,MSNG,+МосЭнерго,21052000,1.1147,,
2013-09-11,MSNG,+МосЭнерго,29596000,1.1203,,
2013-09-12,MSNG,+МосЭнерго,17495000,1.084,,
2013-09-13,MSNG,+МосЭнерго,17868000,1.0849,,
2013-09-16,MSNG,+МосЭнерго,11224000,1.0967,,
2013-09-17,MSNG,+МосЭнерго,10021000,1.0831,,
2013-09-18,MSNG,+МосЭнерго,14147000,1.0849,,
2013-09-19,MSNG,+МосЭнерго,14116000,1.0897,,
2013-09-20,MSNG,+МосЭнерго,5453000,1.0918,,
2013-09-23,MSNG,+МосЭнерго,15652000,1.0739,,
2013-09-24,MSNG,+МосЭнерго,10988000,1.0708,,
2013-09-25,MSNG,+МосЭнерго,47828000,1.0731,,
2013-09-26,MSNG,+МосЭнерго,11954000,1.077,,
2013-09-27,MSNG,+МосЭнерго,24730000,1.064,,
2013-09-30,MSNG,+МосЭнерго,13691000,1.0378,,
2013-10-01,MSNG,+МосЭнерго,26575000,1.0349,,
2013-10-02,MSNG,+МосЭнерго,10303000,1.0257,,
2013-10-03,MSNG,+МосЭнерго,7321000,1.025,,
2013-10-04,MSNG,+МосЭнерго,7905000,1.024,,
2013-10-07,MSNG,+МосЭнерго,10098000,1.0376,,
2013-10-08,MSNG,+МосЭнерго,16168000,1.0284,,
2013-10-09,MSNG,+МосЭнерго,18232000,1.02,,
2013-10-10,MSNG,+МосЭнерго,35540000,1.0159,,
2013-10-11,MSNG,+МосЭнерго,4457000,1.0145,,
2013-10-14,MSNG,+МосЭнерго,18660000,0.9999,,
2013-10-15,MSNG,+МосЭнерго,17673000,0.996,,
2013-10-16,MSNG,+МосЭнерго,39152000,0.9701,,
2013-10-17,MSNG,+МосЭнерго,35504000,0.9879,,
2013-10-18,MSNG,+МосЭнерго,29779000,0.9738,,
2013-10-21,MSNG,+МосЭнерго,37307000,0.9789,,
2013-10-22,MSNG,+МосЭнерго,35191000,0.9544,,
2013-10-23,MSNG,+МосЭнерго,41515000,0.928,,
2013-10-24,MSNG,+МосЭнерго,14528000,0.9243,,
2013-10-25,MSNG,+МосЭнерго,26560000,0.9135,,
2013-10-28,MSNG,+МосЭнерго,11776000,0.919,,
2013-10-29,MSNG,+МосЭнерго,6496000,0.9169,,
2013-10-30,MSNG,+МосЭнерго,23637000,0.926,,
2013-10-31,MSNG,+МосЭнерго,13679000,0.918,,
2013-11-01,MSNG,+МосЭнерго,4928000,0.9251,,
2013-11-05,MSNG,+МосЭнерго,8816000,0.9294,,
2013-11-06,MSNG,+МосЭнерго,4818000,0.9185,,
2013-11-07,MSNG,+МосЭнерго,14384000,0.9077,,
2013-11-08,MSNG,+МосЭнерго,18869000,0.9005,,
2013-11-11,MSNG,+МосЭнерго,6854000,0.8983,,
2013-11-12,MSNG,+МосЭнерго,15838000,0.8824,,
2013-11-13,MSNG,+МосЭнерго,16281000,0.844,,
2013-11-14,MSNG,+МосЭнерго,20713000,0.8572,,
2013-11-15,MSNG,+МосЭнерго,9194000,0.8526,,
2013-11-18,MSNG,+МосЭнерго,5224000,0.8574,,
2013-11-19,MSNG,+МосЭнерго,25690000,0.857,,
2013-11-20,MSNG,+МосЭнерго,46132000,0.8426,,
2013-11-21,MSNG,+МосЭнерго,4255000,0.8341,,
2013-11-22,MSNG,+МосЭнерго,6562000,0.8432,,
2013-11-25,MSNG,+МосЭнерго,6323000,0.8353,,
2013-11-26,MSNG,+МосЭнерго,24991000,0.81,,
2013-11-27,MSNG,+МосЭнерго,9637000,0.8263,,
2013-11-28,MSNG,+МосЭнерго,12651000,0.8075,,
2013-11-29,MSNG,+МосЭнерго,7653000,0.8077,,
2013-12-02,MSNG,+МосЭнерго,5594000,0.8055,,
2013-12-03,MSNG,+МосЭнерго,22141000,0.791,,
2013-12-04,MSNG,+МосЭнерго,10596000,0.8081,,
2013-12-05,MSNG,+МосЭнерго,71431000,0.857,,
2013-12-06,MSNG,+МосЭнерго,44129000,0.9,,
2013-12-09,MSNG,+МосЭнерго,16255000,0.92,,
2013-12-10,MSNG,+МосЭнерго,18454000,0.9061,,
2013-12-11,MSNG,+МосЭнерго,27136000,0.8911,,
2013-12-12,MSNG,+МосЭнерго,12166000,0.866,,
2013-12-13,MSNG,+МосЭнерго,10127000,0.867,,
2013-12-16,MSNG,+МосЭнерго,17373000,0.8692,,
2013-12-17,MSNG,+МосЭнерго,46044000,0.8715,,
2013-12-18,MSNG,+МосЭнерго,12654000,0.86,,
2013-12-19,MSNG,+МосЭнерго,29264000,0.8651,,
2013-12-20,MSNG,+МосЭнерго,29227000,0.878,,
2013-12-23,MSNG,+МосЭнерго,31473000,0.8819,,
2013-12-24,MSNG,+МосЭнерго,18027000,0.887,,
2013-12-25,MSNG,+МосЭнерго,7209000,0.881,,
2013-12-26,MSNG,+МосЭнерго,30664000,0.8748,,
2013-12-27,MSNG,+МосЭнерго,24781000,0.8718,,
2013-12-30,MSNG,+МосЭнерго,16458000,0.8746,,
2014-01-06,MSNG,+МосЭнерго,1562000,0.8693,,
2014-01-08,MSNG,+МосЭнерго,4361000,0.8756,,
2014-01-09,MSNG,+МосЭнерго,6018000,0.872,,
2014-01-10,MSNG,+МосЭнерго,11688000,0.8695,,
2014-01-13,MSNG,+МосЭнерго,5176000,0.8733,,
2014-01-14,MSNG,+МосЭнерго,5879000,0.8673,,
2014-01-15,MSNG,+МосЭнерго,26135000,0.8895,,
2014-01-16,MSNG,+МосЭнерго,12618000,0.8758,,
2014-01-17,MSNG,+МосЭнерго,12122000,0.882,,
2014-01-20,MSNG,+МосЭнерго,8656000,0.8779,,
2014-01-21,MSNG,+МосЭнерго,9821000,0.8738,,
2014-01-22,MSNG,+МосЭнерго,24409000,0.8787,,
