tradedate,secid,shortname,volume,close,dividends_value,currencyid
2013-07-08,MTSS,МТС-ао,100,265.13,,
2013-07-09,MTSS,МТС-ао,0,,,
2013-07-10,MTSS,МТС-ао,650,261.5,,
2013-07-11,MTSS,МТС-ао,0,,,
2013-07-12,MTSS,МТС-ао,450,270.0,,
2013-07-15,MTSS,МТС-ао,400,271.0,,
2013-07-16,MTSS,МТС-ао,0,,,
2013-07-17,MTSS,МТС-ао,450,273.6,,
2013-07-18,MTSS,МТС-ао,0,,,
2013-07-19,MTSS,МТС-ао,450,270.03,,
2013-07-22,MTSS,МТС-ао,700,274.44,,
2013-07-23,MTSS,МТС-ао,0,,,
2013-07-24,MTSS,МТС-ао,0,,,
2013-07-25,MTSS,МТС-ао,5500,283.0,,
2013-07-26,MTSS,МТС-ао,0,,,
2013-07-29,MTSS,МТС-ао,510,277.01,,
2013-07-30,MTSS,МТС-ао,16120,278.6,,
2013-07-31,MTSS,МТС-ао,5930,275.0,,
2013-08-01,MTSS,МТС-ао,1360,282.0,,
2013-08-02,MTSS,МТС-ао,4010,286.49,,
2013-08-05,MTSS,МТС-ао,0,,,
2013-08-06,MTSS,МТС-ао,10,282.12,,
2013-08-07,MTSS,МТС-ао,0,,,
2013-08-08,MTSS,МТС-ао,40,285.2,,
2013-08-09,MTSS,МТС-ао,4000,290.4,,
2013-08-12,MTSS,МТС-ао,0,,,
2013-08-13,MTSS,МТС-ао,0,,,
2013-08-14,MTSS,МТС-ао,400,295.49,,
2013-08-15,MTSS,МТС-ао,0,,,
2013-08-16,MTSS,МТС-ао,880,285.7,,
2013-08-19,MTSS,МТС-ао,1340,289.5,,
2013-08-20,MTSS,МТС-ао,0,,,
2013-08-21,MTSS,МТС-ао,540,298.4,,
2013-08-22,MTSS,МТС-ао,2570,303.27,,
2013-08-23,MTSS,МТС-ао,200,296.01,,
2013-08-26,MTSS,МТС-ао,300,300.0,,
2013-08-27,MTSS,МТС-ао,2940,293.51,,
2013-08-28,MTSS,МТС-ао,1070,289.99,,
2013-08-29,MTSS,МТС-ао,3610,286.01,,
2013-08-30,MTSS,МТС-ао,110,288.0,,
2013-09-02,MTSS,МТС-ао,858920,283.01,,
2013-09-03,MTSS,МТС-ао,1262180,286.0,,
2013-09-04,MTSS,МТС-ао,1144650,282.96,,
2013-09-05,MTSS,МТС-ао,2610880,295.0,,
2013-09-06,MTSS,МТС-ао,1961150,297.1,,
2013-09-09,MTSS,МТС-ао,1211130,300.55,,
2013-09-10,MTSS,МТС-ао,2209760,299.04,,
2013-09-11,MTSS,МТС-ао,1033210,298.53,,
2013-09-12,MTSS,МТС-ао,1167800,298.4,,
2013-09-13,MTSS,МТС-ао,1263890,299.98,,
2013-09-16,MTSS,МТС-ао,3527720,308.2,,
2013-09-17,MTSS,МТС-ао,1078420,307.95,,
2013-09-18,MTSS,МТС-ао,1689590,308.36,,
2013-09-19,MTSS,МТС-ао,3059660,313.5,,
2013-09-20,MTSS,МТС-ао,1413830,311.8,,
2013-09-23,MTSS,МТС-ао,1652000,307.13,,
2013-09-24,MTSS,МТС-ао,1541980,311.0,,
2013-09-25,MTSS,МТС-ао,1983000,316.32,,
2013-09-26,MTSS,МТС-ао,2053420,319.5,,
2013-09-27,MTSS,МТС-ао,1417270,321.05,,
2013-09-30,MTSS,МТС-ао,1174590,323.0,,
2013-10-01,MTSS,МТС-ао,1629450,327.96,,
2013-10-02,MTSS,МТС-ао,2074890,324.0,,
2013-10-03,MTSS,МТС-ао,1246790,324.24,,
2013-10-04,MTSS,МТС-ао,1028910,327.92,,
2013-10-07,MTSS,МТС-ао,1288290,330.06,,
2013-10-08,MTSS,МТС-ао,1572640,329.97,,
2013-10-09,MTSS,МТС-ао,1719110,328.9,,
2013-10-10,MTSS,МТС-ао,1168470,333.73,,
2013-10-11,MTSS,МТС-ао,953520,336.21,,
2013-10-14,MTSS,МТС-ао,1419020,336.8,,
2013-10-15,MTSS,МТС-ао,2094080,344.8,,
2013-10-16,MTSS,МТС-ао,1607710,351.5,,
2013-10-17,MTSS,МТС-ао,1641740,343.0,,
2013-10-18,MTSS,МТС-ао,1759270,348.5,,
2013-10-21,MTSS,МТС-ао,1213640,341.0,,
