tradedate,secid,shortname,volume,close,dividends_value,currencyid
2013-03-25,NVTK,Новатэк ао,0,,,
2013-03-26,NVTK,Новатэк ао,0,,,
2013-03-27,NVTK,Новатэк ао,0,,,
2013-03-28,NVTK,Новатэк ао,0,,,
2013-03-29,NVTK,Новатэк ао,0,,,
2013-04-01,NVTK,Новатэк ао,0,,,
2013-04-02,NVTK,Новатэк ао,0,,,
2013-04-03,NVTK,Новатэк ао,0,,,
2013-04-04,NVTK,Новатэк ао,0,,,
2013-04-05,NVTK,Новатэк ао,0,,,
2013-04-08,NVTK,Новатэк ао,0,,,
2013-04-09,NVTK,Новатэк ао,0,,,
2013-04-10,NVTK,Новатэк ао,30,317.74,,
2013-04-11,NVTK,Новатэк ао,0,,,
2013-04-12,NVTK,Новатэк ао,0,,,
2013-04-15,NVTK,Новатэк ао,0,,,
2013-04-16,NVTK,Новатэк ао,0,,,
2013-04-17,NVTK,Новатэк ао,1000,310.0,,
2013-04-18,NVTK,Новатэк ао,0,,,
2013-04-19,NVTK,Новатэк ао,0,,,
2013-04-22,NVTK,Новатэк ао,0,,,
2013-04-23,NVTK,Новатэк ао,0,,,
2013-04-24,NVTK,Новатэк ао,0,,,
2013-04-25,NVTK,Новатэк ао,0,,,
2013-04-26,NVTK,Новатэк ао,0,,,
2013-04-29,NVTK,Новатэк ао,0,,,
2013-04-30,NVTK,Новатэк ао,0,,,
2013-05-02,NVTK,Новатэк ао,0,,,
2013-05-03,NVTK,Новатэк ао,0,,,
2013-05-06,NVTK,Новатэк ао,0,,,
2013-05-07,NVTK,Новатэк ао,0,,,
2013-05-08,NVTK,Новатэк ао,0,,,
2013-05-10,NVTK,Новатэк ао,0,,,
2013-05-13,NVTK,Новатэк ао,0,,,
2013-05-14,NVTK,Новатэк ао,10,310.0,,
2013-05-15,NVTK,Новатэк ао,0,,,
2013-05-16,NVTK,Новатэк ао,0,,,
2013-05-17,NVTK,Новатэк ао,0,,,
2013-05-20,NVTK,Новатэк ао,350,277.72,,
2013-05-21,NVTK,Новатэк ао,350,307.0,,
2013-05-22,NVTK,Новатэк ао,0,,,
2013-05-23,NVTK,Новатэк ао,0,,,
2013-05-24,NVTK,Новатэк ао,10,293.0,,
2013-05-27,NVTK,Новатэк ао,0,,,
2013-05-28,NVTK,Новатэк ао,0,,,
2013-05-29,NVTK,Новатэк ао,0,,,
2013-05-30,NVTK,Новатэк ао,0,,,
2013-05-31,NVTK,Новатэк ао,0,,,
2013-06-03,NVTK,Новатэк ао,0,,,
2013-06-04,NVTK,Новатэк ао,0,,,
2013-06-05,NVTK,Новатэк ао,0,,,
2013-06-06,NVTK,Новатэк ао,0,,,
2013-06-07,NVTK,Новатэк ао,0,,,
2013-06-10,NVTK,Новатэк ао,0,,,
2013-06-11,NVTK,Новатэк ао,0,,,
2013-06-13,NVTK,Новатэк ао,0,,,
2013-06-14,NVTK,Новатэк ао,0,,,
2013-06-17,NVTK,Новатэк ао,0,,,
2013-06-18,NVTK,Новатэк ао,0,,,
2013-06-19,NVTK,Новатэк ао,0,,,
2013-06-20,NVTK,Новатэк ао,0,,,
2013-06-21,NVTK,Новатэк ао,0,,,
2013-06-24,NVTK,Новатэк ао,50,349.0,,
2013-06-25,NVTK,Новатэк ао,40,323.02,,
2013-06-26,NVTK,Новатэк ао,10,311.5,,
2013-06-27,NVTK,Новатэк ао,0,,,
2013-06-28,NVTK,Новатэк ао,0,,,
2013-07-01,NVTK,Новатэк ао,0,,,
