tradedate,secid,shortname,volume,close,dividends_value,currencyid
2013-07-08,PHOR,ФосАгро ао,0,,,
2013-07-09,PHOR,ФосАгро ао,0,,,
2013-07-10,PHOR,ФосАгро ао,0,,,
2013-07-11,PHOR,ФосАгро ао,0,,,
2013-07-12,PHOR,ФосАгро ао,0,,,
2013-07-15,PHOR,ФосАгро ао,0,,,
2013-07-16,PHOR,ФосАгро ао,0,,,
2013-07-17,PHOR,ФосАгро ао,0,,,
2013-07-18,PHOR,ФосАгро ао,0,,,
2013-07-19,PHOR,ФосАгро ао,0,,,
2013-07-22,PHOR,ФосАгро ао,0,,,
2013-07-23,PHOR,ФосАгро ао,0,,,
2013-07-24,PHOR,ФосАгро ао,0,,,
2013-07-25,PHOR,ФосАгро ао,0,,,
2013-07-26,PHOR,ФосАгро ао,0,,,
2013-07-29,PHOR,ФосАгро ао,0,,,
2013-07-30,PHOR,ФосАгро ао,0,,,
2013-07-31,PHOR,ФосАгро ао,0,,,
2013-08-01,PHOR,ФосАгро ао,0,,,
2013-08-02,PHOR,ФосАгро ао,0,,,
2013-08-05,PHOR,ФосАгро ао,0,,,
2013-08-06,PHOR,ФосАгро ао,0,,,
2013-08-07,PHOR,ФосАгро ао,0,,,
2013-08-08,PHOR,ФосАгро ао,0,,,
2013-08-09,PHOR,ФосАгро ао,0,,,
2013-08-12,PHOR,ФосАгро ао,0,,,
2013-08-13,PHOR,ФосАгро ао,0,,,
2013-08-14,PHOR,ФосАгро ао,2,623.9,,
2013-08-15,PHOR,ФосАгро ао,30,1371.8,,
2013-08-16,PHOR,ФосАгро ао,0,,,
2013-08-19,PHOR,ФосАгро ао,0,,,
2013-08-20,PHOR,ФосАгро ао,0,,,
2013-08-21,PHOR,ФосАгро ао,0,,,
2013-08-22,PHOR,ФосАгро ао,0,,,
2013-08-23,PHOR,ФосАгро ао,0,,,
2013-08-26,PHOR,ФосАгро ао,0,,,
2013-08-27,PHOR,ФосАгро ао,0,,,
2013-08-28,PHOR,ФосАгро ао,0,,,
2013-08-29,PHOR,ФосАгро ао,0,,,
2013-08-30,PHOR,ФосАгро ао,0,,,
2013-09-02,PHOR,ФосАгро ао,4587,929.9,,
2013-09-03,PHOR,ФосАгро ао,17285,928.0,,
2013-09-04,PHOR,ФосАгро ао,10996,937.7,,
2013-09-05,PHOR,ФосАгро ао,4909,946.8,,
2013-09-06,PHOR,ФосАгро ао,10736,944.9,15.45,RUB
2013-09-09,PHOR,ФосАгро ао,11373,932.0,,
2013-09-10,PHOR,ФосАгро ао,7878,951.0,,
2013-09-11,PHOR,ФосАгро ао,7706,938.5,,
2013-09-12,PHOR,ФосАгро ао,5304,935.3,,
2013-09-13,PHOR,ФосАгро ао,8824,949.0,,
2013-09-16,PHOR,ФосАгро ао,23038,976.9,,
2013-09-17,PHOR,ФосАгро ао,11383,962.0,,
2013-09-18,PHOR,ФосАгро ао,8940,955.0,,
2013-09-19,PHOR,ФосАгро ао,12639,957.9,,
2013-09-20,PHOR,ФосАгро ао,7945,965.0,,
2013-09-23,PHOR,ФосАгро ао,4557,944.8,,
2013-09-24,PHOR,ФосАгро ао,7192,957.5,,
2013-09-25,PHOR,ФосАгро ао,3863,955.2,,
2013-09-26,PHOR,ФосАгро ао,9472,976.3,,
2013-09-27,PHOR,ФосАгро ао,17451,976.7,,
2013-09-30,PHOR,ФосАгро ао,3953,969.3,,
2013-10-01,PHOR,ФосАгро ао,3622,988.9,,
2013-10-02,PHOR,ФосАгро ао,9962,966.0,,
2013-10-03,PHOR,ФосАгро ао,8087,964.0,,
2013-10-04,PHOR,ФосАгро ао,4240,977.6,,
2013-10-07,PHOR,ФосАгро ао,2162,967.1,,
2013-10-08,PHOR,ФосАгро ао,26794,983.6,,
2013-10-09,PHOR,ФосАгро ао,3321,998.5,,
2013-10-10,PHOR,ФосАгро ао,23668,1023.0,,
2013-10-11,PHOR,ФосАгро ао,10852,1020.0,,
2013-10-14,PHOR,ФосАгро ао,7213,1038.3,,
2013-10-15,PHOR,ФосАгро ао,10244,1037.8,,
2013-10-16,PHOR,ФосАгро ао,20603,1033.9,,
2013-10-17,PHOR,ФосАгро ао,7389,1011.1,,
2013-10-18,PHOR,ФосАгро ао,19731,1013.9,,
2013-10-21,PHOR,ФосАгро ао,4212,1006.1,,
2013-10-22,PHOR,ФосАгро ао,8587,1000.0,,
2013-10-23,PHOR,ФосАгро ао,49074,983.0,,
2013-10-24,PHOR,ФосАгро ао,5729,970.7,,
2013-10-25,PHOR,ФосАгро ао,4081,964.1,,
2013-10-28,PHOR,ФосАгро ао,5931,960.2,,
2013-10-29,PHOR,ФосАгро ао,7721,960.0,,
2013-10-30,PHOR,ФосАгро ао,6905,964.1,,
2013-10-31,PHOR,ФосАгро ао,5532,970.0,,
2013-11-01,PHOR,ФосАгро ао,3936,986.5,,
2013-11-05,PHOR,ФосАгро ао,3824,969.8,,
2013-11-06,PHOR,ФосАгро ао,12129,951.5,,
2013-11-07,PHOR,ФосАгро ао,2976,959.8,,
2013-11-08,PHOR,ФосАгро ао,4775,953.1,,
2013-11-11,PHOR,ФосАгро ао,1742,963.3,,
2013-11-12,PHOR,ФосАгро ао,3454,977.0,,
2013-11-13,PHOR,ФосАгро ао,20895,960.1,,
