tradedate,secid,shortname,volume,close,dividends_value,currencyid
2014-06-09,PLZL,Полюс,7686,511.6,,
2014-06-10,PLZL,Полюс,11410,507.0,,
2014-06-11,PLZL,Полюс,24528,512.8,,
2014-06-16,PLZL,Полюс,13178,517.0,,
2014-06-17,PLZL,Полюс,7502,513.1,,
2014-06-18,PLZL,Полюс,13739,511.2,,
2014-06-19,PLZL,Полюс,37300,502.5,,
2014-06-20,PLZL,Полюс,40861,504.6,,
2014-06-23,PLZL,Полюс,12107,502.0,,
2014-06-24,PLZL,Полюс,26728,499.7,,
2014-06-25,PLZL,Полюс,43112,484.8,,
2014-06-26,PLZL,Полюс,44231,478.9,,
2014-06-27,PLZL,Полюс,13604,483.0,,
2014-06-30,PLZL,Полюс,5049,482.0,,
2014-07-01,PLZL,Полюс,18706,485.2,,
2014-07-02,PLZL,Полюс,10889,482.0,,
2014-07-03,PLZL,Полюс,10749,479.7,,
2014-07-04,PLZL,Полюс,8652,478.0,,
2014-07-07,PLZL,Полюс,7128,481.3,,
2014-07-08,PLZL,Полюс,10475,480.1,,
2014-07-09,PLZL,Полюс,4176,481.2,,
2014-07-10,PLZL,Полюс,11920,477.2,,
2014-07-11,PLZL,Полюс,3126,477.2,,
2014-07-14,PLZL,Полюс,9688,473.0,,
2014-07-15,PLZL,Полюс,34082,465.9,,
2014-07-16,PLZL,Полюс,85087,506.0,,
2014-07-17,PLZL,Полюс,62470,524.0,,
2014-07-18,PLZL,Полюс,47762,519.9,,
2014-07-21,PLZL,Полюс,22948,496.0,,
2014-07-22,PLZL,Полюс,9839,504.7,,
2014-07-23,PLZL,Полюс,15225,515.0,,
2014-07-24,PLZL,Полюс,12757,500.8,,
2014-07-25,PLZL,Полюс,3343,500.5,,
2014-07-28,PLZL,Полюс,10875,490.4,,
2014-07-29,PLZL,Полюс,8208,489.7,,
2014-07-30,PLZL,Полюс,4902,481.2,,
2014-07-31,PLZL,Полюс,6359,482.1,,
2014-08-01,PLZL,Полюс,8050,481.5,,
2014-08-04,PLZL,Полюс,4330,485.5,,
2014-08-05,PLZL,Полюс,2959,488.0,,
2014-08-06,PLZL,Полюс,6395,496.5,,
2014-08-07,PLZL,Полюс,12848,485.6,,
2014-08-08,PLZL,Полюс,4971,489.1,,
2014-08-11,PLZL,Полюс,6491,495.4,,
2014-08-12,PLZL,Полюс,2663,490.0,,
2014-08-13,PLZL,Полюс,4522,497.5,,
2014-08-14,PLZL,Полюс,3580,496.0,,
2014-08-15,PLZL,Полюс,8129,492.9,,
2014-08-18,PLZL,Полюс,2278,489.0,,
2014-08-19,PLZL,Полюс,3761,488.7,,
2014-08-20,PLZL,Полюс,4121,494.5,,
2014-08-21,PLZL,Полюс,5076,493.0,,
2014-08-22,PLZL,Полюс,6028,496.0,,
2014-08-25,PLZL,Полюс,7437,494.5,,
2014-08-26,PLZL,Полюс,4641,493.3,,
2014-08-27,PLZL,Полюс,5362,498.5,,
2014-08-28,PLZL,Полюс,15165,500.0,,
2014-08-29,PLZL,Полюс,5808,498.0,,
2014-09-01,PLZL,Полюс,4517,502.0,,
2014-09-02,PLZL,Полюс,3404,499.5,,
2014-09-03,PLZL,Полюс,5091,500.5,,
2014-09-04,PLZL,Полюс,7285,499.3,,
2014-09-05,PLZL,Полюс,5393,499.2,,
2014-09-08,PLZL,Полюс,5713,500.0,,
2014-09-09,PLZL,Полюс,2908,499.4,,
2014-09-10,PLZL,Полюс,2743,498.9,,
2014-09-11,PLZL,Полюс,3276,498.8,,
2014-09-12,PLZL,Полюс,5608,498.9,,
2014-09-15,PLZL,Полюс,2420,495.6,,
2014-09-16,PLZL,Полюс,4713,496.5,,
2014-09-17,PLZL,Полюс,9673,490.1,,
2014-09-18,PLZL,Полюс,5357,487.5,,
2014-09-19,PLZL,Полюс,12501,509.0,,
2014-09-22,PLZL,Полюс,10505,493.9,,
2014-09-23,PLZL,Полюс,15230,496.1,,
2014-09-24,PLZL,Полюс,8405,502.0,,
2014-09-25,PLZL,Полюс,3960,499.1,,
2014-09-26,PLZL,Полюс,4261,497.0,,
2014-09-29,PLZL,Полюс,3334,496.8,,
2014-09-30,PLZL,Полюс,3605,493.9,,
2014-10-01,PLZL,Полюс,3441,492.5,,
2014-10-02,PLZL,Полюс,4008,491.5,,
2014-10-03,PLZL,Полюс,1862,494.0,,
2014-10-06,PLZL,Полюс,2987,494.0,,
2014-10-07,PLZL,Полюс,2532,490.0,,
2014-10-08,PLZL,Полюс,7099,487.5,,
2014-10-09,PLZL,Полюс,1590,490.0,,
2014-10-10,PLZL,Полюс,5128,483.5,,
2014-10-13,PLZL,Полюс,4871,484.0,,
2014-10-14,PLZL,Полюс,3661,479.5,,
2014-10-15,PLZL,Полюс,4983,475.0,,
2014-10-16,PLZL,Полюс,5521,471.0,,
2014-10-17,PLZL,Полюс,2734,471.0,,
2014-10-20,PLZL,Полюс,19140,469.5,,
2014-10-21,PLZL,Полюс,3597,470.0,,
2014-10-22,PLZL,Полюс,3570,467.0,,
2014-10-23,PLZL,Полюс,5560,461.5,,
2014-10-24,PLZL,Полюс,1738,461.0,,
2014-10-27,PLZL,Полюс,3897,459.0,,
2014-10-28,PLZL,Полюс,7672,461.0,,
2014-10-29,PLZL,Полюс,9049,468.0,,
2014-10-30,PLZL,Полюс,9595,469.0,,
2014-10-31,PLZL,Полюс,9199,478.0,,
2014-11-03,PLZL,Полюс,564,476.0,,
2014-11-05,PLZL,Полюс,9319,475.0,,
2014-11-06,PLZL,Полюс,29811,477.5,,
2014-11-07,PLZL,Полюс,6106,477.5,,
2014-11-10,PLZL,Полюс,9702,483.0,,
2014-11-11,PLZL,Полюс,5729,478.0,,
2014-11-12,PLZL,Полюс,8560,472.5,,
2014-11-13,PLZL,Полюс,7183,471.5,,
2014-11-14,PLZL,Полюс,9976,473.5,,
2014-11-17,PLZL,Полюс,3660,470.0,,
2014-11-18,PLZL,Полюс,17314,482.0,,
2014-11-19,PLZL,Полюс,100288,529.0,,
2014-11-20,PLZL,Полюс,46554,523.5,,
2014-11-21,PLZL,Полюс,25161,529.5,,
2014-11-24,PLZL,Полюс,68694,580.0,,
2014-11-25,PLZL,Полюс,167846,656.5,,
2014-11-26,PLZL,Полюс,390869,759.0,,
2014-11-27,PLZL,Полюс,212457,740.0,,
2014-11-28,PLZL,Полюс,96366,706.0,,
2014-12-01,PLZL,Полюс,185873,755.5,,
2014-12-02,PLZL,Полюс,218716,879.0,,
2014-12-03,PLZL,Полюс,323768,1040.0,,
2014-12-04,PLZL,Полюс,364439,1209.0,,
2014-12-05,PLZL,Полюс,240480,1055.0,,
2014-12-08,PLZL,Полюс,187333,1070.0,,
2014-12-09,PLZL,Полюс,150212,1166.0,,
2014-12-10,PLZL,Полюс,102144,1143.5,,
2014-12-11,PLZL,Полюс,73991,1070.0,,
2014-12-12,PLZL,Полюс,51003,1052.0,,
2014-12-15,PLZL,Полюс,74629,999.0,,
2014-12-16,PLZL,Полюс,102695,1000.0,,
2014-12-17,PLZL,Полюс,26034,1015.0,,
2014-12-18,PLZL,Полюс,56818,1006.0,,
2014-12-19,PLZL,Полюс,33985,975.0,,
2014-12-22,PLZL,Полюс,20974,999.5,,
2014-12-23,PLZL,Полюс,12073,1000.0,,
2014-12-24,PLZL,Полюс,67888,1071.5,,
2014-12-25,PLZL,Полюс,57209,1105.0,,
2014-12-26,PLZL,Полюс,38496,1050.0,,
2014-12-29,PLZL,Полюс,16013,1000.0,,
2014-12-30,PLZL,Полюс,18784,997.5,,
2015-01-05,PLZL,Полюс,2031,1000.5,,
2015-01-06,PLZL,Полюс,16827,1047.0,,
