tradedate,secid,shortname,volume,close,dividends_value,currencyid
2014-06-09,ROSN,Роснефть,6373420,240.36,,
2014-06-10,ROSN,Роснефть,5042580,242.8,,
2014-06-11,ROSN,Роснефть,12959310,249.66,,
2014-06-16,ROSN,Роснефть,19174760,253.3,,
2014-06-17,ROSN,Роснефть,7504200,251.59,,
2014-06-18,ROSN,Роснефть,7890720,250.87,,
2014-06-19,ROSN,Роснефть,8963490,249.89,,
2014-06-20,ROSN,Роснефть,6944910,250.11,,
2014-06-23,ROSN,Роснефть,4943100,252.3,,
2014-06-24,ROSN,Роснефть,6899670,257.81,,
2014-06-25,ROSN,Роснефть,6756610,250.0,,
2014-06-26,ROSN,Роснефть,4648100,249.24,,
2014-06-27,ROSN,Роснефть,4764260,249.49,,
2014-06-30,ROSN,Роснефть,3782240,249.3,,
2014-07-01,ROSN,Роснефть,2410840,250.16,,
2014-07-02,ROSN,Роснефть,6029760,255.19,,
2014-07-03,ROSN,Роснефть,5029670,257.7,,
2014-07-04,ROSN,Роснефть,5432990,253.9,,
2014-07-07,ROSN,Роснефть,6265420,248.99,,
2014-07-08,ROSN,Роснефть,7000330,249.99,12.85,RUB
2014-07-09,ROSN,Роснефть,4485820,247.95,,
2014-07-10,ROSN,Роснефть,7532330,244.95,,
2014-07-11,ROSN,Роснефть,4108780,246.01,,
2014-07-14,ROSN,Роснефть,3311240,242.0,,
2014-07-15,ROSN,Роснефть,5356490,241.92,,
2014-07-16,ROSN,Роснефть,4088830,244.18,,
2014-07-17,ROSN,Роснефть,10709070,233.7,,
2014-07-18,ROSN,Роснефть,7864560,231.75,,
2014-07-21,ROSN,Роснефть,5478310,225.91,,
2014-07-22,ROSN,Роснефть,7344200,226.76,,
2014-07-23,ROSN,Роснефть,6242370,221.8,,
2014-07-24,ROSN,Роснефть,5698180,222.45,,
2014-07-25,ROSN,Роснефть,8196760,220.84,,
2014-07-28,ROSN,Роснефть,8812750,218.21,,
2014-07-29,ROSN,Роснефть,6805200,220.3,,
2014-07-30,ROSN,Роснефть,9399760,224.0,,
2014-07-31,ROSN,Роснефть,5640440,223.0,,
2014-08-01,ROSN,Роснефть,5781690,221.79,,
2014-08-04,ROSN,Роснефть,3908940,219.9,,
2014-08-05,ROSN,Роснефть,3604190,220.0,,
2014-08-06,ROSN,Роснефть,5711540,219.55,,
2014-08-07,ROSN,Роснефть,7628050,221.0,,
2014-08-08,ROSN,Роснефть,3810580,219.54,,
2014-08-11,ROSN,Роснефть,4453750,221.38,,
2014-08-12,ROSN,Роснефть,3489390,221.65,,
2014-08-13,ROSN,Роснефть,6812810,225.99,,
2014-08-14,ROSN,Роснефть,4673440,226.3,,
2014-08-15,ROSN,Роснефть,3531470,225.0,,
2014-08-18,ROSN,Роснефть,2300560,224.68,,
2014-08-19,ROSN,Роснефть,5336200,227.4,,
2014-08-20,ROSN,Роснефть,8633490,231.54,,
2014-08-21,ROSN,Роснефть,3762610,233.0,,
2014-08-22,ROSN,Роснефть,3994060,230.03,,
2014-08-25,ROSN,Роснефть,1977830,231.69,,
2014-08-26,ROSN,Роснефть,1947630,229.22,,
2014-08-27,ROSN,Роснефть,3600420,231.69,,
2014-08-28,ROSN,Роснефть,5338320,228.99,,
2014-08-29,ROSN,Роснефть,3224570,226.0,,
2014-09-01,ROSN,Роснефть,4709250,229.0,,
2014-09-02,ROSN,Роснефть,2884730,230.5,,
2014-09-03,ROSN,Роснефть,8965910,236.13,,
2014-09-04,ROSN,Роснефть,3670470,236.54,,
2014-09-05,ROSN,Роснефть,4843110,238.0,,
2014-09-08,ROSN,Роснефть,4822180,234.02,,
2014-09-09,ROSN,Роснефть,2511410,234.55,,
2014-09-10,ROSN,Роснефть,2041280,234.9,,
2014-09-11,ROSN,Роснефть,3762330,230.01,,
2014-09-12,ROSN,Роснефть,4158350,233.2,,
2014-09-15,ROSN,Роснефть,5924820,232.19,,
2014-09-16,ROSN,Роснефть,6048810,240.5,,
2014-09-17,ROSN,Роснефть,4742790,237.34,,
2014-09-18,ROSN,Роснефть,3074850,238.76,,
2014-09-19,ROSN,Роснефть,5548090,233.5,,
2014-09-22,ROSN,Роснефть,3298760,230.0,,
2014-09-23,ROSN,Роснефть,3304420,232.79,,
2014-09-24,ROSN,Роснефть,3135650,232.36,,
2014-09-25,ROSN,Роснефть,2793420,231.2,,
2014-09-26,ROSN,Роснефть,4619220,232.39,,
2014-09-29,ROSN,Роснефть,5631560,229.0,,
2014-09-30,ROSN,Роснефть,3698040,232.0,,
2014-10-01,ROSN,Роснефть,2679530,230.0,,
2014-10-02,ROSN,Роснефть,3537850,226.37,,
2014-10-03,ROSN,Роснефть,2643740,227.73,,
2014-10-06,ROSN,Роснефть,3475620,232.07,,
2014-10-07,ROSN,Роснефть,2246410,231.3,,
2014-10-08,ROSN,Роснефть,4871320,227.5,,
2014-10-09,ROSN,Роснефть,3447860,228.47,,
2014-10-10,ROSN,Роснефть,5580800,222.3,,
2014-10-13,ROSN,Роснефть,2911110,225.53,,
2014-10-14,ROSN,Роснефть,4896610,230.3,,
2014-10-15,ROSN,Роснефть,3116270,226.61,,
2014-10-16,ROSN,Роснефть,4512650,224.15,,
2014-10-17,ROSN,Роснефть,3457610,228.69,,
2014-10-20,ROSN,Роснефть,3537880,227.2,,
2014-10-21,ROSN,Роснефть,2310250,228.24,,
2014-10-22,ROSN,Роснефть,2909900,225.4,,
2014-10-23,ROSN,Роснефть,4956200,224.2,,
2014-10-24,ROSN,Роснефть,2493030,225.88,,
2014-10-27,ROSN,Роснефть,3260300,227.9,,
2014-10-28,ROSN,Роснефть,3141570,229.6,,
2014-10-29,ROSN,Роснефть,4423520,233.45,,
2014-10-30,ROSN,Роснефть,6195750,235.96,,
2014-10-31,ROSN,Роснефть,4992590,239.9,,
2014-11-03,ROSN,Роснефть,1517640,240.3,,
2014-11-05,ROSN,Роснефть,5601670,239.88,,
2014-11-06,ROSN,Роснефть,4736410,239.21,,
2014-11-07,ROSN,Роснефть,8463260,239.02,,
2014-11-10,ROSN,Роснефть,3570780,239.86,,
2014-11-11,ROSN,Роснефть,4508050,239.34,,
2014-11-12,ROSN,Роснефть,4176190,237.23,,
2014-11-13,ROSN,Роснефть,5047940,231.5,,
2014-11-14,ROSN,Роснефть,4164080,233.79,,
2014-11-17,ROSN,Роснефть,1791880,233.97,,
2014-11-18,ROSN,Роснефть,4850340,235.7,,
2014-11-19,ROSN,Роснефть,3124540,235.0,,
2014-11-20,ROSN,Роснефть,4608280,235.8,,
2014-11-21,ROSN,Роснефть,7843450,240.4,,
2014-11-24,ROSN,Роснефть,3158270,237.62,,
2014-11-25,ROSN,Роснефть,2431410,237.01,,
2014-11-26,ROSN,Роснефть,4222580,238.0,,
2014-11-27,ROSN,Роснефть,4020190,233.66,,
2014-11-28,ROSN,Роснефть,5127800,233.74,,
2014-12-01,ROSN,Роснефть,10316100,233.5,,
2014-12-02,ROSN,Роснефть,6439860,232.75,,
2014-12-03,ROSN,Роснефть,8890610,230.45,,
2014-12-04,ROSN,Роснефть,6370370,228.3,,
2014-12-05,ROSN,Роснефть,4806410,221.95,,
2014-12-08,ROSN,Роснефть,7582440,212.2,,
2014-12-09,ROSN,Роснефть,7199030,213.35,,
2014-12-10,ROSN,Роснефть,4611170,213.5,,
2014-12-11,ROSN,Роснефть,7303450,208.0,,
2014-12-12,ROSN,Роснефть,7098610,210.75,,
2014-12-15,ROSN,Роснефть,8782990,201.5,,
2014-12-16,ROSN,Роснефть,12196960,200.65,,
2014-12-17,ROSN,Роснефть,10755000,194.65,,
2014-12-18,ROSN,Роснефть,13451330,196.9,,
2014-12-19,ROSN,Роснефть,7712830,194.15,,
2014-12-22,ROSN,Роснефть,9365290,198.9,,
2014-12-23,ROSN,Роснефть,4593370,196.65,,
2014-12-24,ROSN,Роснефть,3504880,193.2,,
2014-12-25,ROSN,Роснефть,1713440,195.0,,
2014-12-26,ROSN,Роснефть,2007450,196.75,,
2014-12-29,ROSN,Роснефть,5206380,201.8,,
2014-12-30,ROSN,Роснефть,3516390,195.8,,
2015-01-05,ROSN,Роснефть,3054380,196.75,,
2015-01-06,ROSN,Роснефть,3351110,200.3,,
2015-01-08,ROSN,Роснефть,5965920,214.95,,
2015-01-09,ROSN,Роснефть,4373540,206.6,,
2015-01-12,ROSN,Роснефть,3142690,204.0,,
