tradedate,secid,shortname,volume,close,dividends_value,currencyid
2013-03-25,SBERP,Сбербанк-п,120300,73.35,,
2013-03-26,SBERP,Сбербанк-п,209100,72.3,,
2013-03-27,SBERP,Сбербанк-п,76900,72.28,,
2013-03-28,SBERP,Сбербанк-п,211700,75.12,,
2013-03-29,SBERP,Сбербанк-п,91800,75.11,,
2013-04-01,SBERP,Сбербанк-п,208200,75.04,,
2013-04-02,SBERP,Сбербанк-п,300500,74.62,,
2013-04-03,SBERP,Сбербанк-п,211800,74.64,,
2013-04-04,SBERP,Сбербанк-п,836800,74.87,,
2013-04-05,SBERP,Сбербанк-п,696800,73.57,,
2013-04-08,SBERP,Сбербанк-п,216600,72.7,,
2013-04-09,SBERP,Сбербанк-п,812400,73.58,,
2013-04-10,SBERP,Сбербанк-п,617100,71.42,,
2013-04-11,SBERP,Сбербанк-п,751600,69.32,,
2013-04-12,SBERP,Сбербанк-п,314200,69.47,,
2013-04-15,SBERP,Сбербанк-п,648600,67.77,,
2013-04-16,SBERP,Сбербанк-п,450700,67.59,,
2013-04-17,SBERP,Сбербанк-п,339500,67.67,,
2013-04-18,SBERP,Сбербанк-п,781400,68.39,,
2013-04-19,SBERP,Сбербанк-п,434800,70.3,,
2013-04-22,SBERP,Сбербанк-п,395400,69.65,,
2013-04-23,SBERP,Сбербанк-п,247000,70.05,,
2013-04-24,SBERP,Сбербанк-п,191900,70.53,,
2013-04-25,SBERP,Сбербанк-п,699800,70.93,,
2013-04-26,SBERP,Сбербанк-п,349600,70.32,,
2013-04-29,SBERP,Сбербанк-п,190200,69.87,,
2013-04-30,SBERP,Сбербанк-п,425900,72.21,,
2013-05-02,SBERP,Сбербанк-п,667800,72.24,,
2013-05-03,SBERP,Сбербанк-п,468200,72.77,,
2013-05-06,SBERP,Сбербанк-п,470000,73.35,,
2013-05-07,SBERP,Сбербанк-п,214300,74.73,,
2013-05-08,SBERP,Сбербанк-п,147300,75.83,,
2013-05-10,SBERP,Сбербанк-п,333900,75.39,,
2013-05-13,SBERP,Сбербанк-п,467100,75.81,,
2013-05-14,SBERP,Сбербанк-п,523300,75.57,,
2013-05-15,SBERP,Сбербанк-п,402900,75.27,,
2013-05-16,SBERP,Сбербанк-п,266800,75.16,,
2013-05-17,SBERP,Сбербанк-п,313500,75.91,,
2013-05-20,SBERP,Сбербанк-п,211800,77.2,,
2013-05-21,SBERP,Сбербанк-п,172000,78.13,,
2013-05-22,SBERP,Сбербанк-п,114400,79.65,,
2013-05-23,SBERP,Сбербанк-п,308700,76.5,,
2013-05-24,SBERP,Сбербанк-п,541100,75.54,,
2013-05-27,SBERP,Сбербанк-п,348900,75.49,,
2013-05-28,SBERP,Сбербанк-п,229800,77.49,,
2013-05-29,SBERP,Сбербанк-п,775200,76.08,,
2013-05-30,SBERP,Сбербанк-п,2047700,77.1,,
2013-05-31,SBERP,Сбербанк-п,1540200,72.2,,
2013-06-03,SBERP,Сбербанк-п,1201800,72.05,,
2013-06-04,SBERP,Сбербанк-п,237600,71.76,,
2013-06-05,SBERP,Сбербанк-п,538800,70.7,,
2013-06-06,SBERP,Сбербанк-п,346300,72.12,,
2013-06-07,SBERP,Сбербанк-п,310700,73.41,,
