tradedate,secid,shortname,volume,close,dividends_value,currencyid
2013-03-25,SBER,Сбербанк,593680,98.79,,
2013-03-26,SBER,Сбербанк,1283550,97.2,,
2013-03-27,SBER,Сбербанк,1261950,96.75,,
2013-03-28,SBER,Сбербанк,1971410,98.59,,
2013-03-29,SBER,Сбербанк,782000,98.76,,
2013-04-01,SBER,Сбербанк,2279650,98.07,,
2013-04-02,SBER,Сбербанк,3555020,98.93,,
2013-04-03,SBER,Сбербанк,3757240,99.59,,
2013-04-04,SBER,Сбербанк,5172930,99.91,,
2013-04-05,SBER,Сбербанк,5229210,99.38,,
2013-04-08,SBER,Сбербанк,5080400,100.43,,
2013-04-09,SBER,Сбербанк,6539720,102.53,,
2013-04-10,SBER,Сбербанк,6477440,100.56,,
2013-04-11,SBER,Сбербанк,9738330,100.31,,
2013-04-12,SBER,Сбербанк,8770130,98.34,,
2013-04-15,SBER,Сбербанк,9476270,95.48,,
2013-04-16,SBER,Сбербанк,8746220,95.92,,
2013-04-17,SBER,Сбербанк,12318170,94.58,,
2013-04-18,SBER,Сбербанк,11438210,95.35,,
2013-04-19,SBER,Сбербанк,10456040,96.22,,
2013-04-22,SBER,Сбербанк,8487550,95.1,,
2013-04-23,SBER,Сбербанк,9918070,96.46,,
2013-04-24,SBER,Сбербанк,10809260,97.89,,
2013-04-25,SBER,Сбербанк,17508370,96.11,,
2013-04-26,SBER,Сбербанк,12505810,95.6,,
2013-04-29,SBER,Сбербанк,9543700,94.83,,
2013-04-30,SBER,Сбербанк,9242730,99.3,,
2013-05-02,SBER,Сбербанк,8247370,100.84,,
2013-05-03,SBER,Сбербанк,6583590,102.92,,
2013-05-06,SBER,Сбербанк,5184770,102.28,,
2013-05-07,SBER,Сбербанк,7598890,105.14,,
2013-05-08,SBER,Сбербанк,7983670,105.81,,
2013-05-10,SBER,Сбербанк,7276960,103.78,,
2013-05-13,SBER,Сбербанк,8107650,103.34,,
2013-05-14,SBER,Сбербанк,13107770,103.84,,
2013-05-15,SBER,Сбербанк,8940580,103.22,,
2013-05-16,SBER,Сбербанк,4241390,102.45,,
2013-05-17,SBER,Сбербанк,5862860,105.17,,
2013-05-20,SBER,Сбербанк,5986790,106.49,,
2013-05-21,SBER,Сбербанк,7682260,108.9,,
2013-05-22,SBER,Сбербанк,12471940,110.73,,
2013-05-23,SBER,Сбербанк,10928200,105.61,,
2013-05-24,SBER,Сбербанк,17144980,102.97,,
2013-05-27,SBER,Сбербанк,9630270,102.86,,
2013-05-28,SBER,Сбербанк,8500810,104.0,,
2013-05-29,SBER,Сбербанк,13256870,99.9,,
2013-05-30,SBER,Сбербанк,16543730,99.98,,
2013-05-31,SBER,Сбербанк,17383700,99.0,,
2013-06-03,SBER,Сбербанк,16609480,98.8,,
2013-06-04,SBER,Сбербанк,7214140,98.71,,
2013-06-05,SBER,Сбербанк,11474200,97.5,,
2013-06-06,SBER,Сбербанк,9679300,96.91,,
2013-06-07,SBER,Сбербанк,12679660,98.92,,
2013-06-10,SBER,Сбербанк,10230620,97.9,,
2013-06-11,SBER,Сбербанк,15916610,94.7,,
2013-06-13,SBER,Сбербанк,17814630,91.85,,
2013-06-14,SBER,Сбербанк,12751180,93.64,,
2013-06-17,SBER,Сбербанк,12357410,95.74,,
2013-06-18,SBER,Сбербанк,9357570,96.36,,
2013-06-19,SBER,Сбербанк,8536010,94.63,,
2013-06-20,SBER,Сбербанк,12178180,91.56,,
2013-06-21,SBER,Сбербанк,12067320,91.24,,
2013-06-24,SBER,Сбербанк,10446770,88.66,,
2013-06-25,SBER,Сбербанк,8425930,89.74,,
2013-06-26,SBER,Сбербанк,8379260,92.67,,
2013-06-27,SBER,Сбербанк,9403380,93.2,,
2013-06-28,SBER,Сбербанк,9615000,93.5,,
2013-07-01,SBER,Сбербанк,7557200,95.4,,
2013-07-02,SBER,Сбербанк,5917590,94.59,,
2013-07-03,SBER,Сбербанк,6582450,93.18,,
2013-07-04,SBER,Сбербанк,7533240,94.0,,
2013-07-05,SBER,Сбербанк,10199020,93.3,,
2013-07-08,SBER,Сбербанк,6539950,93.0,,
2013-07-09,SBER,Сбербанк,5403870,92.41,,
