tradedate,secid,shortname,volume,close,dividends_value,currencyid
2014-06-09,SIBN,Газпрнефть,175470,148.92,,
2014-06-10,SIBN,Газпрнефть,52330,149.11,,
2014-06-11,SIBN,Газпрнефть,174280,152.5,,
2014-06-16,SIBN,Газпрнефть,164510,153.0,,
2014-06-17,SIBN,Газпрнефть,142370,155.5,,
2014-06-18,SIBN,Газпрнефть,230500,156.69,,
2014-06-19,SIBN,Газпрнефть,356680,153.5,,
2014-06-20,SIBN,Газпрнефть,445940,150.61,,
2014-06-23,SIBN,Газпрнефть,159460,151.59,5.29,RUB
2014-06-24,SIBN,Газпрнефть,80690,151.18,,
2014-06-25,SIBN,Газпрнефть,98790,149.23,,
2014-06-26,SIBN,Газпрнефть,233450,147.0,,
2014-06-27,SIBN,Газпрнефть,92910,147.75,,
2014-06-30,SIBN,Газпрнефть,193680,150.5,,
2014-07-01,SIBN,Газпрнефть,128770,149.85,,
2014-07-02,SIBN,Газпрнефть,140100,151.41,,
2014-07-03,SIBN,Газпрнефть,182050,148.69,,
2014-07-04,SIBN,Газпрнефть,99410,148.85,,
2014-07-07,SIBN,Газпрнефть,63960,151.6,,
2014-07-08,SIBN,Газпрнефть,75290,151.58,,
2014-07-09,SIBN,Газпрнефть,116760,147.79,,
2014-07-10,SIBN,Газпрнефть,440120,143.15,,
2014-07-11,SIBN,Газпрнефть,65760,144.5,,
2014-07-14,SIBN,Газпрнефть,104130,143.78,,
2014-07-15,SIBN,Газпрнефть,83780,142.75,,
2014-07-16,SIBN,Газпрнефть,184980,142.0,,
2014-07-17,SIBN,Газпрнефть,78850,139.73,,
2014-07-18,SIBN,Газпрнефть,146590,139.7,,
2014-07-21,SIBN,Газпрнефть,227570,138.21,,
2014-07-22,SIBN,Газпрнефть,287340,137.0,,
2014-07-23,SIBN,Газпрнефть,112640,136.46,,
2014-07-24,SIBN,Газпрнефть,39390,136.83,,
2014-07-25,SIBN,Газпрнефть,155630,135.0,,
2014-07-28,SIBN,Газпрнефть,144970,133.32,,
2014-07-29,SIBN,Газпрнефть,160920,132.74,,
2014-07-30,SIBN,Газпрнефть,163450,133.55,,
2014-07-31,SIBN,Газпрнефть,129550,133.09,,
2014-08-01,SIBN,Газпрнефть,101710,133.11,,
2014-08-04,SIBN,Газпрнефть,120510,132.54,,
2014-08-05,SIBN,Газпрнефть,113560,132.0,,
2014-08-06,SIBN,Газпрнефть,299800,129.23,,
2014-08-07,SIBN,Газпрнефть,224290,129.2,,
2014-08-08,SIBN,Газпрнефть,143820,129.99,,
2014-08-11,SIBN,Газпрнефть,417830,134.76,,
2014-08-12,SIBN,Газпрнефть,658760,138.22,,
2014-08-13,SIBN,Газпрнефть,145770,140.19,,
2014-08-14,SIBN,Газпрнефть,195750,140.28,,
2014-08-15,SIBN,Газпрнефть,67410,140.73,,
2014-08-18,SIBN,Газпрнефть,87610,140.61,,
2014-08-19,SIBN,Газпрнефть,165620,142.4,,
2014-08-20,SIBN,Газпрнефть,230920,146.94,,
2014-08-21,SIBN,Газпрнефть,271310,146.75,,
2014-08-22,SIBN,Газпрнефть,66380,146.46,,
2014-08-25,SIBN,Газпрнефть,37980,146.79,,
2014-08-26,SIBN,Газпрнефть,64680,146.16,,
2014-08-27,SIBN,Газпрнефть,31680,147.18,,
2014-08-28,SIBN,Газпрнефть,164160,143.18,,
2014-08-29,SIBN,Газпрнефть,91440,141.45,,
2014-09-01,SIBN,Газпрнефть,39400,141.87,,
2014-09-02,SIBN,Газпрнефть,79500,140.76,,
2014-09-03,SIBN,Газпрнефть,249750,145.85,,
2014-09-04,SIBN,Газпрнефть,166510,146.97,,
2014-09-05,SIBN,Газпрнефть,353310,147.0,,
2014-09-08,SIBN,Газпрнефть,375090,143.52,,
2014-09-09,SIBN,Газпрнефть,340790,144.17,,
2014-09-10,SIBN,Газпрнефть,232070,146.1,,
2014-09-11,SIBN,Газпрнефть,220510,144.58,,
2014-09-12,SIBN,Газпрнефть,167250,147.18,,
2014-09-15,SIBN,Газпрнефть,113710,145.63,,
2014-09-16,SIBN,Газпрнефть,207320,146.39,,
2014-09-17,SIBN,Газпрнефть,230970,143.69,,
2014-09-18,SIBN,Газпрнефть,280610,143.18,,
2014-09-19,SIBN,Газпрнефть,259290,140.73,,
2014-09-22,SIBN,Газпрнефть,91290,141.08,,
2014-09-23,SIBN,Газпрнефть,66580,141.0,,
2014-09-24,SIBN,Газпрнефть,179390,141.96,,
2014-09-25,SIBN,Газпрнефть,52400,141.05,,
2014-09-26,SIBN,Газпрнефть,115940,141.4,,
2014-09-29,SIBN,Газпрнефть,222210,142.04,,
2014-09-30,SIBN,Газпрнефть,140820,144.2,,
2014-10-01,SIBN,Газпрнефть,67400,144.1,,
2014-10-02,SIBN,Газпрнефть,168350,144.2,,
2014-10-03,SIBN,Газпрнефть,262440,145.3,,
2014-10-06,SIBN,Газпрнефть,118220,147.6,,
2014-10-07,SIBN,Газпрнефть,81190,147.9,,
2014-10-08,SIBN,Газпрнефть,91230,148.0,,
2014-10-09,SIBN,Газпрнефть,142190,146.1,,
2014-10-10,SIBN,Газпрнефть,105420,145.1,,
2014-10-13,SIBN,Газпрнефть,331000,148.7,,
2014-10-14,SIBN,Газпрнефть,236480,149.2,,
2014-10-15,SIBN,Газпрнефть,498320,148.8,,
2014-10-16,SIBN,Газпрнефть,204440,143.1,,
2014-10-17,SIBN,Газпрнефть,208240,146.0,4.62,RUB
2014-10-20,SIBN,Газпрнефть,222670,146.1,,
2014-10-21,SIBN,Газпрнефть,497830,144.5,,
2014-10-22,SIBN,Газпрнефть,307610,143.9,,
2014-10-23,SIBN,Газпрнефть,273730,146.2,,
2014-10-24,SIBN,Газпрнефть,72830,146.0,,
2014-10-27,SIBN,Газпрнефть,140570,147.7,,
2014-10-28,SIBN,Газпрнефть,1400770,150.3,,
2014-10-29,SIBN,Газпрнефть,61020,150.8,,
2014-10-30,SIBN,Газпрнефть,128890,151.8,,
2014-10-31,SIBN,Газпрнефть,109590,151.7,,
2014-11-03,SIBN,Газпрнефть,99980,154.4,,
2014-11-05,SIBN,Газпрнефть,209090,153.0,,
2014-11-06,SIBN,Газпрнефть,234150,152.0,,
2014-11-07,SIBN,Газпрнефть,367090,152.2,,
2014-11-10,SIBN,Газпрнефть,51720,154.0,,
2014-11-11,SIBN,Газпрнефть,80140,153.5,,
2014-11-12,SIBN,Газпрнефть,263030,154.7,,
2014-11-13,SIBN,Газпрнефть,271950,152.8,,
