tradedate,secid,shortname,volume,close,dividends_value,currencyid
2014-06-09,SNGSP,Сургнфгз-п,12674200,27.48,,
2014-06-10,SNGSP,Сургнфгз-п,14035900,27.55,,
2014-06-11,SNGSP,Сургнфгз-п,27208800,28.15,,
2014-06-16,SNGSP,Сургнфгз-п,68059900,28.27,,
2014-06-17,SNGSP,Сургнфгз-п,22101600,28.2,,
2014-06-18,SNGSP,Сургнфгз-п,37906800,29.1,,
2014-06-19,SNGSP,Сургнфгз-п,29664000,28.411,,
2014-06-20,SNGSP,Сургнфгз-п,21161600,27.859,,
2014-06-23,SNGSP,Сургнфгз-п,20111600,28.25,,
2014-06-24,SNGSP,Сургнфгз-п,28189100,28.75,,
2014-06-25,SNGSP,Сургнфгз-п,18307800,28.16,,
2014-06-26,SNGSP,Сургнфгз-п,19616400,28.185,,
2014-06-27,SNGSP,Сургнфгз-п,14263700,28.255,,
2014-06-30,SNGSP,Сургнфгз-п,23086700,28.0,,
2014-07-01,SNGSP,Сургнфгз-п,15362300,27.811,,
2014-07-02,SNGSP,Сургнфгз-п,21503300,28.19,,
2014-07-03,SNGSP,Сургнфгз-п,15931500,28.28,,
2014-07-04,SNGSP,Сургнфгз-п,16341700,27.786,,
2014-07-07,SNGSP,Сургнфгз-п,24238300,28.0,,
2014-07-08,SNGSP,Сургнфгз-п,25781900,28.223,,
2014-07-09,SNGSP,Сургнфгз-п,26436500,28.62,,
2014-07-10,SNGSP,Сургнфгз-п,51506600,28.74,,
2014-07-11,SNGSP,Сургнфгз-п,45210400,28.706,,
2014-07-14,SNGSP,Сургнфгз-п,51528700,28.92,,
2014-07-15,SNGSP,Сургнфгз-п,55166400,26.85,,
2014-07-16,SNGSP,Сургнфгз-п,36150800,27.127,2.36,RUB
2014-07-17,SNGSP,Сургнфгз-п,27099200,26.888,,
2014-07-18,SNGSP,Сургнфгз-п,30469900,26.61,,
2014-07-21,SNGSP,Сургнфгз-п,41965100,25.25,,
2014-07-22,SNGSP,Сургнфгз-п,28014900,26.289,,
2014-07-23,SNGSP,Сургнфгз-п,20330500,26.5,,
2014-07-24,SNGSP,Сургнфгз-п,18913700,26.5,,
2014-07-25,SNGSP,Сургнфгз-п,9249700,26.26,,
2014-07-28,SNGSP,Сургнфгз-п,17578400,25.4,,
2014-07-29,SNGSP,Сургнфгз-п,18515400,25.5,,
2014-07-30,SNGSP,Сургнфгз-п,28554700,26.0,,
2014-07-31,SNGSP,Сургнфгз-п,35288700,26.33,,
2014-08-01,SNGSP,Сургнфгз-п,25749100,26.25,,
2014-08-04,SNGSP,Сургнфгз-п,21349600,26.302,,
2014-08-05,SNGSP,Сургнфгз-п,17943900,26.25,,
2014-08-06,SNGSP,Сургнфгз-п,29859000,26.16,,
2014-08-07,SNGSP,Сургнфгз-п,37368700,25.38,,
2014-08-08,SNGSP,Сургнфгз-п,20714700,25.82,,
2014-08-11,SNGSP,Сургнфгз-п,13247100,26.3,,
2014-08-12,SNGSP,Сургнфгз-п,16429800,26.62,,
2014-08-13,SNGSP,Сургнфгз-п,46490000,27.99,,
2014-08-14,SNGSP,Сургнфгз-п,38167800,28.0,,
2014-08-15,SNGSP,Сургнфгз-п,17279600,27.903,,
2014-08-18,SNGSP,Сургнфгз-п,14350100,27.489,,
2014-08-19,SNGSP,Сургнфгз-п,32025800,26.955,,
2014-08-20,SNGSP,Сургнфгз-п,22149400,27.274,,
2014-08-21,SNGSP,Сургнфгз-п,22579600,27.699,,
2014-08-22,SNGSP,Сургнфгз-п,21212900,27.6,,
2014-08-25,SNGSP,Сургнфгз-п,4467300,27.644,,
2014-08-26,SNGSP,Сургнфгз-п,15816700,27.63,,
2014-08-27,SNGSP,Сургнфгз-п,8096900,27.72,,
2014-08-28,SNGSP,Сургнфгз-п,33568700,27.69,,
2014-08-29,SNGSP,Сургнфгз-п,31054900,27.198,,
2014-09-01,SNGSP,Сургнфгз-п,32204500,26.651,,
2014-09-02,SNGSP,Сургнфгз-п,17582500,26.505,,
2014-09-03,SNGSP,Сургнфгз-п,31264400,27.22,,
2014-09-04,SNGSP,Сургнфгз-п,15040300,27.55,,
2014-09-05,SNGSP,Сургнфгз-п,26681400,27.6,,
2014-09-08,SNGSP,Сургнфгз-п,14779200,27.481,,
2014-09-09,SNGSP,Сургнфгз-п,15547400,27.85,,
2014-09-10,SNGSP,Сургнфгз-п,25794000,28.219,,
2014-09-11,SNGSP,Сургнфгз-п,28290900,28.048,,
2014-09-12,SNGSP,Сургнфгз-п,30454400,28.3,,
2014-09-15,SNGSP,Сургнфгз-п,30660000,28.45,,
2014-09-16,SNGSP,Сургнфгз-п,40054300,29.056,,
2014-09-17,SNGSP,Сургнфгз-п,34397700,28.8,,
2014-09-18,SNGSP,Сургнфгз-п,16572300,28.424,,
2014-09-19,SNGSP,Сургнфгз-п,27629900,28.4,,
2014-09-22,SNGSP,Сургнфгз-п,14509800,27.879,,
2014-09-23,SNGSP,Сургнфгз-п,19033200,28.4,,
2014-09-24,SNGSP,Сургнфгз-п,13716900,28.251,,
2014-09-25,SNGSP,Сургнфгз-п,17604000,28.542,,
2014-09-26,SNGSP,Сургнфгз-п,21263800,28.9,,
2014-09-29,SNGSP,Сургнфгз-п,22558200,28.171,,
2014-09-30,SNGSP,Сургнфгз-п,42023100,27.3,,
2014-10-01,SNGSP,Сургнфгз-п,29538700,26.6,,
2014-10-02,SNGSP,Сургнфгз-п,30399000,26.4,,
2014-10-03,SNGSP,Сургнфгз-п,32843500,26.75,,
2014-10-06,SNGSP,Сургнфгз-п,37460200,27.275,,
2014-10-07,SNGSP,Сургнфгз-п,25317000,26.96,,
2014-10-08,SNGSP,Сургнфгз-п,50272100,26.585,,
2014-10-09,SNGSP,Сургнфгз-п,23882800,26.915,,
2014-10-10,SNGSP,Сургнфгз-п,26473300,26.65,,
2014-10-13,SNGSP,Сургнфгз-п,21684800,27.05,,
2014-10-14,SNGSP,Сургнфгз-п,34939000,27.125,,
