tradedate,secid,shortname,volume,close,dividends_value,currencyid
2014-06-09,SNGS,Сургнфгз,14903900,26.942,,
2014-06-10,SNGS,Сургнфгз,15981600,27.394,,
2014-06-11,SNGS,Сургнфгз,22255600,27.559,,
2014-06-16,SNGS,Сургнфгз,68023500,27.351,,
2014-06-17,SNGS,Сургнфгз,24434500,27.792,,
2014-06-18,SNGS,Сургнфгз,25750100,28.184,,
2014-06-19,SNGS,Сургнфгз,22542500,27.248,,
2014-06-20,SNGS,Сургнфгз,18556500,27.186,,
2014-06-23,SNGS,Сургнфгз,11518100,27.275,,
2014-06-24,SNGS,Сургнфгз,19342600,27.8,,
2014-06-25,SNGS,Сургнфгз,19274200,26.717,,
2014-06-26,SNGS,Сургнфгз,14867200,26.5,,
2014-06-27,SNGS,Сургнфгз,13404200,26.6,,
2014-06-30,SNGS,Сургнфгз,13080400,26.436,,
2014-07-01,SNGS,Сургнфгз,13177800,26.673,,
2014-07-02,SNGS,Сургнфгз,22251100,27.484,,
2014-07-03,SNGS,Сургнфгз,8955800,27.26,,
2014-07-04,SNGS,Сургнфгз,17264300,26.595,,
2014-07-07,SNGS,Сургнфгз,14342100,27.0,,
2014-07-08,SNGS,Сургнфгз,16403700,26.791,,
2014-07-09,SNGS,Сургнфгз,18315400,26.99,,
2014-07-10,SNGS,Сургнфгз,24425600,26.652,,
2014-07-11,SNGS,Сургнфгз,16061500,26.9,,
2014-07-14,SNGS,Сургнфгз,17191900,26.38,,
2014-07-15,SNGS,Сургнфгз,21366100,26.022,,
2014-07-16,SNGS,Сургнфгз,22742400,25.965,0.6,RUB
2014-07-17,SNGS,Сургнфгз,23377800,25.59,,
2014-07-18,SNGS,Сургнфгз,27543100,24.811,,
2014-07-21,SNGS,Сургнфгз,28105300,24.555,,
2014-07-22,SNGS,Сургнфгз,25969700,24.851,,
2014-07-23,SNGS,Сургнфгз,14905700,24.92,,
2014-07-24,SNGS,Сургнфгз,18261700,24.882,,
2014-07-25,SNGS,Сургнфгз,15945600,24.86,,
2014-07-28,SNGS,Сургнфгз,19337000,24.586,,
2014-07-29,SNGS,Сургнфгз,18467000,24.821,,
2014-07-30,SNGS,Сургнфгз,21345500,24.792,,
2014-07-31,SNGS,Сургнфгз,13323300,24.86,,
2014-08-01,SNGS,Сургнфгз,16795300,25.511,,
2014-08-04,SNGS,Сургнфгз,39351200,26.435,,
2014-08-05,SNGS,Сургнфгз,23851900,25.365,,
2014-08-06,SNGS,Сургнфгз,30489400,25.108,,
2014-08-07,SNGS,Сургнфгз,26964400,25.072,,
2014-08-08,SNGS,Сургнфгз,15607600,25.269,,
2014-08-11,SNGS,Сургнфгз,13286700,25.47,,
2014-08-12,SNGS,Сургнфгз,10203000,25.355,,
2014-08-13,SNGS,Сургнфгз,24108900,25.874,,
2014-08-14,SNGS,Сургнфгз,24275800,26.25,,
2014-08-15,SNGS,Сургнфгз,16951300,26.116,,
2014-08-18,SNGS,Сургнфгз,11620200,26.038,,
2014-08-19,SNGS,Сургнфгз,16549700,26.59,,
2014-08-20,SNGS,Сургнфгз,14487500,26.859,,
2014-08-21,SNGS,Сургнфгз,18508500,27.15,,
2014-08-22,SNGS,Сургнфгз,17988000,26.583,,
2014-08-25,SNGS,Сургнфгз,6654000,26.65,,
2014-08-26,SNGS,Сургнфгз,10456900,26.5,,
2014-08-27,SNGS,Сургнфгз,14599900,26.64,,
2014-08-28,SNGS,Сургнфгз,34274200,26.2,,
2014-08-29,SNGS,Сургнфгз,17096400,25.525,,
2014-09-01,SNGS,Сургнфгз,23388700,25.601,,
2014-09-02,SNGS,Сургнфгз,9349500,25.995,,
2014-09-03,SNGS,Сургнфгз,26944500,26.323,,
2014-09-04,SNGS,Сургнфгз,14635400,26.775,,
2014-09-05,SNGS,Сургнфгз,15255800,26.766,,
2014-09-08,SNGS,Сургнфгз,14229700,26.526,,
2014-09-09,SNGS,Сургнфгз,9261000,26.811,,
2014-09-10,SNGS,Сургнфгз,14515000,27.06,,
2014-09-11,SNGS,Сургнфгз,16315500,26.94,,
2014-09-12,SNGS,Сургнфгз,25925500,26.95,,
2014-09-15,SNGS,Сургнфгз,42319200,27.044,,
2014-09-16,SNGS,Сургнфгз,19848000,27.38,,
2014-09-17,SNGS,Сургнфгз,22652000,27.35,,
2014-09-18,SNGS,Сургнфгз,16445300,27.31,,
2014-09-19,SNGS,Сургнфгз,22430500,27.136,,
2014-09-22,SNGS,Сургнфгз,9666200,26.8,,
2014-09-23,SNGS,Сургнфгз,10306200,27.263,,
2014-09-24,SNGS,Сургнфгз,15353900,27.459,,
2014-09-25,SNGS,Сургнфгз,16243800,26.93,,
2014-09-26,SNGS,Сургнфгз,15686400,26.977,,
2014-09-29,SNGS,Сургнфгз,25215700,26.384,,
2014-09-30,SNGS,Сургнфгз,23537400,26.04,,
2014-10-01,SNGS,Сургнфгз,16149800,26.055,,
2014-10-02,SNGS,Сургнфгз,23458500,25.48,,
2014-10-03,SNGS,Сургнфгз,23774300,26.01,,
2014-10-06,SNGS,Сургнфгз,25917400,26.55,,
2014-10-07,SNGS,Сургнфгз,18981500,26.55,,
2014-10-08,SNGS,Сургнфгз,17198600,26.01,,
2014-10-09,SNGS,Сургнфгз,17855400,26.1,,
2014-10-10,SNGS,Сургнфгз,14717900,25.75,,
2014-10-13,SNGS,Сургнфгз,18862700,26.475,,
2014-10-14,SNGS,Сургнфгз,21239100,26.64,,
2014-10-15,SNGS,Сургнфгз,16743100,26.4,,
2014-10-16,SNGS,Сургнфгз,29744400,26.2,,
2014-10-17,SNGS,Сургнфгз,31323000,26.965,,
2014-10-20,SNGS,Сургнфгз,24199100,26.55,,
2014-10-21,SNGS,Сургнфгз,18182300,26.47,,
2014-10-22,SNGS,Сургнфгз,29625200,26.0,,
2014-10-23,SNGS,Сургнфгз,31076800,25.995,,
2014-10-24,SNGS,Сургнфгз,29837100,26.215,,
2014-10-27,SNGS,Сургнфгз,24927700,26.69,,
2014-10-28,SNGS,Сургнфгз,26280800,26.845,,
2014-10-29,SNGS,Сургнфгз,33177700,27.4,,
2014-10-30,SNGS,Сургнфгз,41568600,27.48,,
2014-10-31,SNGS,Сургнфгз,61835700,28.795,,
2014-11-03,SNGS,Сургнфгз,13660700,28.23,,
2014-11-05,SNGS,Сургнфгз,29119400,28.475,,
2014-11-06,SNGS,Сургнфгз,31270500,28.195,,
2014-11-07,SNGS,Сургнфгз,49808900,27.765,,
2014-11-10,SNGS,Сургнфгз,46312100,28.64,,
2014-11-11,SNGS,Сургнфгз,24582100,28.815,,
2014-11-12,SNGS,Сургнфгз,19095600,28.815,,
2014-11-13,SNGS,Сургнфгз,15486500,28.305,,
2014-11-14,SNGS,Сургнфгз,29602000,28.95,,
2014-11-17,SNGS,Сургнфгз,14681600,29.005,,
2014-11-18,SNGS,Сургнфгз,28414900,29.165,,
2014-11-19,SNGS,Сургнфгз,36032300,29.885,,
2014-11-20,SNGS,Сургнфгз,37180400,30.06,,
2014-11-21,SNGS,Сургнфгз,30055000,29.7,,
2014-11-24,SNGS,Сургнфгз,16184400,29.545,,
2014-11-25,SNGS,Сургнфгз,20172400,29.44,,
