tradedate,secid,shortname,volume,close,dividends_value,currencyid
2013-07-08,TATN,Татнфт 3ао,0,,,
2013-07-09,TATN,Татнфт 3ао,0,,,
2013-07-10,TATN,Татнфт 3ао,10,199.18,,
2013-07-11,TATN,Татнфт 3ао,190,199.17,,
2013-07-12,TATN,Татнфт 3ао,100,201.29,,
2013-07-15,TATN,Татнфт 3ао,0,,,
2013-07-16,TATN,Татнфт 3ао,0,,,
2013-07-17,TATN,Татнфт 3ао,800,210.0,,
2013-07-18,TATN,Татнфт 3ао,400,209.99,,
2013-07-19,TATN,Татнфт 3ао,2180,211.0,,
2013-07-22,TATN,Татнфт 3ао,400,213.0,,
2013-07-23,TATN,Татнфт 3ао,400,210.0,,
2013-07-24,TATN,Татнфт 3ао,400,207.0,,
2013-07-25,TATN,Татнфт 3ао,200,206.0,,
2013-07-26,TATN,Татнфт 3ао,800,204.0,,
2013-07-29,TATN,Татнфт 3ао,0,,,
2013-07-30,TATN,Татнфт 3ао,400,205.5,,
2013-07-31,TATN,Татнфт 3ао,0,,,
2013-08-01,TATN,Татнфт 3ао,200,206.0,,
2013-08-02,TATN,Татнфт 3ао,0,,,
2013-08-05,TATN,Татнфт 3ао,200,209.0,,
2013-08-06,TATN,Татнфт 3ао,1240,201.13,,
2013-08-07,TATN,Татнфт 3ао,320,203.0,,
2013-08-08,TATN,Татнфт 3ао,200,201.5,,
2013-08-09,TATN,Татнфт 3ао,600,205.0,,
2013-08-12,TATN,Татнфт 3ао,0,,,
2013-08-13,TATN,Татнфт 3ао,900,209.0,,
2013-08-14,TATN,Татнфт 3ао,450,212.6,,
2013-08-15,TATN,Татнфт 3ао,700,204.0,,
2013-08-16,TATN,Татнфт 3ао,0,,,
2013-08-19,TATN,Татнфт 3ао,850,208.0,,
2013-08-20,TATN,Татнфт 3ао,420,207.8,,
2013-08-21,TATN,Татнфт 3ао,420,208.0,,
2013-08-22,TATN,Татнфт 3ао,590,210.0,,
2013-08-23,TATN,Татнфт 3ао,0,,,
2013-08-26,TATN,Татнфт 3ао,40,210.48,,
2013-08-27,TATN,Татнфт 3ао,20550,204.0,,
2013-08-28,TATN,Татнфт 3ао,230,203.53,,
2013-08-29,TATN,Татнфт 3ао,22370,206.5,,
2013-08-30,TATN,Татнфт 3ао,2000,201.4,,
2013-09-02,TATN,Татнфт 3ао,797410,207.5,,
2013-09-03,TATN,Татнфт 3ао,821150,207.32,,
2013-09-04,TATN,Татнфт 3ао,361040,207.99,,
2013-09-05,TATN,Татнфт 3ао,1909150,213.65,,
2013-09-06,TATN,Татнфт 3ао,2236390,216.92,,
2013-09-09,TATN,Татнфт 3ао,1277620,220.0,,
2013-09-10,TATN,Татнфт 3ао,2630450,221.85,,
2013-09-11,TATN,Татнфт 3ао,1399030,221.64,,
2013-09-12,TATN,Татнфт 3ао,1488390,219.0,,
2013-09-13,TATN,Татнфт 3ао,889970,219.38,,
2013-09-16,TATN,Татнфт 3ао,2000230,221.65,,
2013-09-17,TATN,Татнфт 3ао,1780690,223.0,,
2013-09-18,TATN,Татнфт 3ао,1605950,220.45,,
2013-09-19,TATN,Татнфт 3ао,3159990,223.3,,
2013-09-20,TATN,Татнфт 3ао,2299530,225.62,,
2013-09-23,TATN,Татнфт 3ао,2170870,220.83,,
2013-09-24,TATN,Татнфт 3ао,1883610,219.0,,
2013-09-25,TATN,Татнфт 3ао,2126240,217.34,,
2013-09-26,TATN,Татнфт 3ао,2641440,215.68,,
2013-09-27,TATN,Татнфт 3ао,1936960,216.4,,
2013-09-30,TATN,Татнфт 3ао,1859760,212.92,,
2013-10-01,TATN,Татнфт 3ао,1789060,213.45,,
2013-10-02,TATN,Татнфт 3ао,1543510,208.21,,
