tradedate,secid,shortname,volume,close,dividends_value,currencyid
2013-03-25,VTBR,ВТБ ао,35450700000,0.05043,,
2013-03-26,VTBR,ВТБ ао,5608020000,0.0494,,
2013-03-27,VTBR,ВТБ ао,4061610000,0.04821,,
2013-03-28,VTBR,ВТБ ао,4234170000,0.04979,,
2013-03-29,VTBR,ВТБ ао,1211060000,0.04987,,
2013-04-01,VTBR,ВТБ ао,2362870000,0.04924,,
2013-04-02,VTBR,ВТБ ао,3744050000,0.04915,,
2013-04-03,VTBR,ВТБ ао,7520910000,0.04825,,
2013-04-04,VTBR,ВТБ ао,6351970000,0.04726,,
2013-04-05,VTBR,ВТБ ао,12474640000,0.04693,,
2013-04-08,VTBR,ВТБ ао,10759550000,0.04755,,
2013-04-09,VTBR,ВТБ ао,9585380000,0.04921,,
2013-04-10,VTBR,ВТБ ао,7662430000,0.04813,,
2013-04-11,VTBR,ВТБ ао,14207590000,0.04792,,
2013-04-12,VTBR,ВТБ ао,8458320000,0.04696,,
2013-04-15,VTBR,ВТБ ао,10690060000,0.04565,,
2013-04-16,VTBR,ВТБ ао,12693450000,0.04536,,
2013-04-17,VTBR,ВТБ ао,12995680000,0.04389,,
2013-04-18,VTBR,ВТБ ао,12514510000,0.04352,,
2013-04-19,VTBR,ВТБ ао,13613260000,0.0438,,
2013-04-22,VTBR,ВТБ ао,14751940000,0.04431,,
2013-04-23,VTBR,ВТБ ао,12436780000,0.04588,,
2013-04-24,VTBR,ВТБ ао,16377820000,0.0456,,
2013-04-25,VTBR,ВТБ ао,21925760000,0.0451,,
2013-04-26,VTBR,ВТБ ао,29042980000,0.04546,,
2013-04-29,VTBR,ВТБ ао,73244340000,0.04728,,
2013-04-30,VTBR,ВТБ ао,37018930000,0.04974,,
2013-05-02,VTBR,ВТБ ао,35483620000,0.04886,,
2013-05-03,VTBR,ВТБ ао,21816200000,0.0491,,
2013-05-06,VTBR,ВТБ ао,31822560000,0.04931,,
2013-05-07,VTBR,ВТБ ао,19983530000,0.05065,,
2013-05-08,VTBR,ВТБ ао,9438820000,0.05085,,
2013-05-10,VTBR,ВТБ ао,9090250000,0.04989,,
2013-05-13,VTBR,ВТБ ао,8111120000,0.04722,,
2013-05-14,VTBR,ВТБ ао,8886270000,0.0459,,
2013-05-15,VTBR,ВТБ ао,11803140000,0.0454,,
